zone_map_id,restaurant_id,zone_id,delivery_time_estimate,fee_override,active_status,assigned_by,last_updated,comments,priority
ZMAP000037,Texas_69947,ZONE02273,34,8.75,False,ADMIN02647,2024-02-02,Newly added zone,Low
ZMAP000038,Red_94746,ZONE02335,51,2.66,True,ADMIN02698,2020-03-14,Newly added zone,Low
ZMAP000039,Chili's_409,ZONE00209,49,,False,ADMIN02944,2022-05-13,Low delivery fee zone,High
ZMAP000040,Chili's_31019,ZONE02824,41,3.61,False,ADMIN02874,2024-08-24,Newly added zone,Low
ZMAP000041,Olive_23591,ZONE02836,48,,True,ADMIN02567,2022-01-30,Low delivery fee zone,Low
ZMAP000042,Texas_40327,ZONE00799,44,,False,ADMIN02154,2023-01-26,Fast delivery available,High
ZMAP000043,P.F._49743,ZONE09229,34,,True,ADMIN02994,2023-09-17,Newly added zone,High
ZMAP000044,Red_85406,ZONE05405,55,9.47,True,ADMIN02350,2022-06-19,Fast delivery available,Medium
ZMAP000045,Chipotle_13442,ZONE06391,22,1.86,False,ADMIN02642,2021-06-14,High demand area,High
ZMAP000046,Chili's_87439,ZONE03653,59,,False,ADMIN02067,2022-06-17,Premium delivery zone,Medium
ZMAP000047,Red_68276,ZONE02444,18,3.0,False,ADMIN02469,2021-11-11,Newly added zone,High
ZMAP000048,P.F._24233,ZONE08285,41,,True,ADMIN02364,2022-02-10,Newly added zone,Medium
ZMAP000049,Buffalo_45684,ZONE00189,60,1.74,True,ADMIN02838,2021-11-17,Fast delivery available,Medium
ZMAP000050,Chipotle_87032,ZONE07990,18,8.63,False,ADMIN02734,2023-11-13,Premium delivery zone,Low
ZMAP000051,Red_68546,ZONE03069,38,,True,ADMIN02653,2022-05-24,Fast delivery available,Medium
ZMAP000052,Chili's_93189,ZONE03759,34,,True,ADMIN02003,2023-12-10,High demand area,High
ZMAP000053,Chili's_27769,ZONE00870,49,1.89,False,ADMIN02603,2023-07-05,High demand area,Low
ZMAP000054,The_80320,ZONE04231,51,4.48,True,ADMIN02904,2021-10-26,Premium delivery zone,Low
ZMAP000055,The_84810,ZONE07273,57,,True,ADMIN02396,2020-07-18,Premium delivery zone,Low
ZMAP000056,The_51410,ZONE01201,58,5.13,True,ADMIN02588,2020-11-22,Low delivery fee zone,High
ZMAP000057,Olive_37661,ZONE00927,21,,False,ADMIN02405,2020-12-18,High demand area,Low
ZMAP000058,The_94100,ZONE06143,40,,False,ADMIN02903,2021-07-01,Newly added zone,Low
ZMAP000059,Buffalo_8084,ZONE07085,39,6.2,True,ADMIN02810,2024-06-15,Premium delivery zone,Medium
ZMAP000060,Chili's_95889,ZONE08004,58,,False,ADMIN02042,2024-04-24,Fast delivery available,Medium
ZMAP000061,Chili's_52059,ZONE06212,15,,True,ADMIN02531,2020-03-13,Premium delivery zone,High
ZMAP000062,Olive_47171,ZONE07026,44,,True,ADMIN02112,2020-11-27,Premium delivery zone,Low
ZMAP000063,Chipotle_99902,ZONE08590,38,,False,ADMIN02564,2024-07-21,Low delivery fee zone,Medium
ZMAP000064,Chili's_76379,ZONE07091,36,0.39,True,ADMIN02879,2021-08-18,Newly added zone,High
ZMAP000065,P.F._77203,ZONE09006,56,,False,ADMIN02701,2023-10-21,Premium delivery zone,High
ZMAP000066,Outback_61765,ZONE07492,24,,True,ADMIN02843,2020-02-01,Fast delivery available,Low
ZMAP000067,P.F._42363,ZONE00979,57,5.44,True,ADMIN02019,2022-06-22,Fast delivery available,Medium
ZMAP000068,Texas_60467,ZONE04706,46,8.98,True,ADMIN02082,2021-05-02,Fast delivery available,High
ZMAP000069,Chipotle_36962,ZONE02247,51,,False,ADMIN02605,2021-06-08,Low delivery fee zone,High
ZMAP000070,The_45110,ZONE08124,32,,False,ADMIN02956,2020-08-19,High demand area,High
ZMAP000071,Panera_50098,ZONE05719,31,,False,ADMIN02488,2021-01-25,Newly added zone,High
ZMAP000072,Outback_30845,ZONE01752,19,0.71,False,ADMIN02614,2022-10-11,Newly added zone,Low
ZMAP000073,Panera_52118,ZONE03358,56,,False,ADMIN02628,2020-11-18,Low delivery fee zone,Medium
ZMAP000074,Outback_44845,ZONE08155,49,,False,ADMIN02751,2022-08-10,Low delivery fee zone,Low
ZMAP000075,Buffalo_22444,ZONE04767,41,,False,ADMIN02624,2024-06-12,Low delivery fee zone,High
ZMAP000076,Texas_45647,ZONE06315,25,4.85,True,ADMIN02339,2023-08-02,High demand area,Low
ZMAP000077,Panera_6588,ZONE07885,26,5.61,False,ADMIN02924,2021-08-18,Low delivery fee zone,Low
ZMAP000078,Red_84786,ZONE07875,40,,False,ADMIN02392,2024-06-11,Fast delivery available,Low
ZMAP000079,Panera_50418,ZONE01722,24,,False,ADMIN02261,2022-10-12,Premium delivery zone,Medium
ZMAP000080,Texas_38517,ZONE01394,37,,True,ADMIN02895,2023-08-22,Fast delivery available,Medium
ZMAP000081,Texas_70877,ZONE08294,36,8.36,False,ADMIN02681,2021-07-23,Newly added zone,Low
ZMAP000082,P.F._52003,ZONE03602,29,,True,ADMIN02376,2024-09-27,Newly added zone,Low
ZMAP000083,Outback_29365,ZONE01187,55,,True,ADMIN02745,2021-01-11,Premium delivery zone,Medium
ZMAP000084,Chipotle_50732,ZONE05293,37,,True,ADMIN02814,2023-10-08,High demand area,Medium
ZMAP000085,P.F._32173,ZONE07241,58,,False,ADMIN02246,2024-02-26,Premium delivery zone,Low
ZMAP000086,Buffalo_81864,ZONE07308,15,,True,ADMIN02390,2022-03-28,Newly added zone,High
ZMAP000087,Olive_61681,ZONE04409,60,,True,ADMIN02129,2020-07-16,Newly added zone,Low
ZMAP000088,P.F._61323,ZONE06690,22,5.03,False,ADMIN02205,2024-03-02,Premium delivery zone,Low
ZMAP000089,Olive_93281,ZONE09049,52,0.71,True,ADMIN02953,2021-09-28,Premium delivery zone,High
ZMAP000090,Chipotle_74192,ZONE06953,50,,False,ADMIN02699,2023-11-21,Low delivery fee zone,High
ZMAP000091,Olive_16151,ZONE00763,17,,True,ADMIN02699,2024-11-12,Newly added zone,Low
ZMAP000092,P.F._35453,ZONE01835,57,3.06,False,ADMIN02958,2022-10-16,Newly added zone,High
ZMAP000093,Outback_21495,ZONE09881,35,,True,ADMIN02966,2022-01-17,High demand area,Low
ZMAP000094,P.F._46873,ZONE09356,54,1.82,False,ADMIN02141,2020-06-04,Premium delivery zone,High
ZMAP000095,Chipotle_56202,ZONE05318,51,,False,ADMIN02140,2022-09-28,Newly added zone,Low
ZMAP000096,Olive_56851,ZONE07134,20,5.25,True,ADMIN02192,2022-08-09,High demand area,Medium
ZMAP000097,The_5240,ZONE04755,23,6.49,False,ADMIN02858,2021-08-26,Premium delivery zone,Low
ZMAP000098,P.F._42633,ZONE08583,41,,False,ADMIN02606,2023-11-03,Fast delivery available,High
ZMAP000099,Red_86556,ZONE03031,53,,False,ADMIN02605,2020-01-11,Fast delivery available,Low
ZMAP000100,Buffalo_76934,ZONE01496,46,4.09,True,ADMIN02811,2023-05-09,Newly added zone,Low
ZMAP000101,Outback_69225,ZONE08564,36,4.62,False,ADMIN02560,2021-05-29,High demand area,High
ZMAP000102,Panera_15938,ZONE04215,57,5.44,True,ADMIN02876,2023-05-12,Low delivery fee zone,Low
ZMAP000103,Olive_61031,ZONE03056,46,4.06,False,ADMIN02708,2020-02-22,High demand area,High
ZMAP000104,Outback_6595,ZONE03582,47,1.05,False,ADMIN02467,2023-10-13,Fast delivery available,Medium
ZMAP000105,Outback_68895,ZONE08224,34,8.19,False,ADMIN02836,2023-04-02,Newly added zone,High
ZMAP000106,Olive_46691,ZONE09058,19,1.49,False,ADMIN02414,2024-04-01,Newly added zone,Medium
ZMAP000107,Chipotle_25622,ZONE07951,40,,False,ADMIN02437,2020-03-16,High demand area,Low
ZMAP000108,P.F._85913,ZONE05642,48,0.42,True,ADMIN02711,2020-10-22,High demand area,Low
ZMAP000109,Texas_28427,ZONE01217,49,,True,ADMIN02983,2020-07-14,High demand area,Medium
ZMAP000110,Texas_62207,ZONE09599,21,3.54,True,ADMIN02773,2021-11-10,High demand area,Medium
ZMAP000111,Panera_99328,ZONE03434,48,,True,ADMIN02976,2021-07-15,Premium delivery zone,Medium
ZMAP000112,Olive_76491,ZONE08945,27,,True,ADMIN02780,2021-08-26,High demand area,High
ZMAP000113,Red_14236,ZONE01619,51,,True,ADMIN02417,2024-02-17,Premium delivery zone,Low
ZMAP000114,Outback_63425,ZONE02910,50,,True,ADMIN02116,2022-11-02,Fast delivery available,Low
ZMAP000115,Olive_65201,ZONE02029,18,0.97,False,ADMIN02873,2024-05-23,Low delivery fee zone,Medium
ZMAP000116,Panera_33168,ZONE05043,21,0.42,False,ADMIN02036,2021-10-21,High demand area,Low
ZMAP000117,Chipotle_42672,ZONE08027,23,,True,ADMIN02366,2024-05-16,Fast delivery available,High
ZMAP000118,Chipotle_86172,ZONE06972,30,3.37,True,ADMIN02725,2023-02-27,Fast delivery available,Medium
ZMAP000119,Red_81836,ZONE05458,37,,True,ADMIN02639,2020-08-02,Newly added zone,High
ZMAP000120,Chili's_53309,ZONE00436,25,0.32,False,ADMIN02522,2024-07-25,Premium delivery zone,Low
ZMAP000121,Chipotle_71482,ZONE04095,41,,True,ADMIN02055,2020-04-23,Premium delivery zone,Medium
ZMAP000122,Panera_15978,ZONE07012,40,,True,ADMIN02719,2022-09-21,Premium delivery zone,Low
ZMAP000123,Outback_92575,ZONE03488,36,,True,ADMIN02739,2022-07-03,Newly added zone,Low
ZMAP000124,Panera_63538,ZONE08496,46,,True,ADMIN02124,2022-09-20,Newly added zone,Low
ZMAP000125,Olive_20461,ZONE04202,39,4.64,False,ADMIN02671,2020-06-16,Newly added zone,Medium
ZMAP000126,Outback_84355,ZONE01395,26,1.26,True,ADMIN02064,2024-03-31,Premium delivery zone,Low
ZMAP000127,P.F._28153,ZONE04017,31,8.79,False,ADMIN02931,2022-06-24,Newly added zone,Medium
ZMAP000128,Olive_13841,ZONE09484,15,1.05,True,ADMIN02817,2020-03-09,Fast delivery available,High
ZMAP000129,Buffalo_14754,ZONE04192,35,7.04,True,ADMIN02495,2021-09-08,Low delivery fee zone,Medium
ZMAP000130,Buffalo_51724,ZONE06991,19,7.3,False,ADMIN02574,2020-12-06,Premium delivery zone,Medium
ZMAP000131,Panera_76268,ZONE06930,22,7.34,False,ADMIN02831,2022-12-15,Premium delivery zone,Medium
ZMAP000132,Olive_34501,ZONE05444,49,,False,ADMIN02495,2023-03-12,Newly added zone,Medium
ZMAP000133,Chili's_46309,ZONE07390,53,3.93,True,ADMIN02886,2022-12-31,Fast delivery available,Low
ZMAP000134,Buffalo_98034,ZONE06442,37,,False,ADMIN02901,2022-07-21,Low delivery fee zone,Low
ZMAP000135,Texas_55427,ZONE09807,45,6.01,False,ADMIN02524,2020-10-20,High demand area,High
ZMAP000136,Red_46816,ZONE05780,35,8.09,False,ADMIN02949,2020-07-01,Low delivery fee zone,High
ZMAP000137,Outback_39795,ZONE02846,22,,True,ADMIN02899,2023-12-23,Newly added zone,Medium
ZMAP000138,Texas_76587,ZONE03557,59,3.84,True,ADMIN02377,2020-10-04,High demand area,Medium
ZMAP000139,Buffalo_96074,ZONE00605,51,4.44,False,ADMIN02456,2021-11-01,Newly added zone,Low
ZMAP000140,Olive_88831,ZONE09667,58,4.2,True,ADMIN02491,2024-02-19,Low delivery fee zone,Low
ZMAP000141,Red_44086,ZONE07176,51,3.44,True,ADMIN02646,2021-03-03,Newly added zone,Low
ZMAP000142,Texas_46607,ZONE02429,49,6.33,True,ADMIN02372,2024-07-25,Low delivery fee zone,Low
ZMAP000143,Chipotle_75582,ZONE06876,49,,False,ADMIN02687,2021-07-17,High demand area,Low
ZMAP000144,Buffalo_25594,ZONE04116,22,,True,ADMIN02819,2020-08-19,High demand area,Low
ZMAP000145,Panera_48788,ZONE07141,46,7.43,True,ADMIN02788,2020-07-12,Fast delivery available,Medium
ZMAP000146,Chipotle_42542,ZONE06028,44,9.8,False,ADMIN02546,2021-02-07,High demand area,Medium
ZMAP000147,Texas_13507,ZONE09533,16,,False,ADMIN02856,2022-04-04,Premium delivery zone,High
ZMAP000148,Olive_98621,ZONE05013,51,,True,ADMIN02098,2023-02-21,Low delivery fee zone,Medium
ZMAP000149,Red_15626,ZONE06432,60,,False,ADMIN02675,2022-09-15,Fast delivery available,Low
ZMAP000150,Chili's_67809,ZONE06560,24,,False,ADMIN02175,2024-05-13,Premium delivery zone,Low
ZMAP000151,Olive_30981,ZONE06980,52,4.28,False,ADMIN02561,2020-01-03,Fast delivery available,High
ZMAP000152,The_40350,ZONE05845,21,7.85,True,ADMIN02051,2021-10-26,Fast delivery available,Medium
ZMAP000153,P.F._62733,ZONE06297,23,4.2,False,ADMIN02936,2021-06-08,Fast delivery available,Medium
ZMAP000154,Outback_30875,ZONE06106,47,4.88,False,ADMIN02188,2023-08-19,Low delivery fee zone,Low
ZMAP000155,Olive_20401,ZONE07381,51,6.81,False,ADMIN02255,2021-08-11,Premium delivery zone,Low
ZMAP000156,Chili's_849,ZONE06175,36,,True,ADMIN02012,2021-04-07,Newly added zone,Low
ZMAP000157,Outback_92275,ZONE09845,48,,False,ADMIN02278,2023-09-25,Newly added zone,High
ZMAP000158,Chipotle_56622,ZONE09275,49,6.23,False,ADMIN02243,2022-03-20,Fast delivery available,Low
ZMAP000159,Red_14176,ZONE07368,23,,True,ADMIN02864,2022-04-17,Premium delivery zone,Medium
ZMAP000160,Outback_59575,ZONE05877,52,3.87,True,ADMIN02869,2023-12-13,Low delivery fee zone,Low
ZMAP000161,Chipotle_17902,ZONE09024,33,,True,ADMIN02264,2020-04-11,Premium delivery zone,High
ZMAP000162,Olive_961,ZONE07881,47,,True,ADMIN02878,2024-09-15,Low delivery fee zone,Low
ZMAP000163,Texas_15327,ZONE05646,19,,True,ADMIN02498,2023-10-02,Premium delivery zone,High
ZMAP000164,Olive_25651,ZONE05552,17,0.8,True,ADMIN02436,2023-11-24,Low delivery fee zone,Low
ZMAP000165,Buffalo_56624,ZONE03840,51,4.69,True,ADMIN02708,2020-06-08,High demand area,Medium
ZMAP000166,Chili's_949,ZONE09722,16,0.67,True,ADMIN02818,2021-09-10,Newly added zone,Medium
ZMAP000167,P.F._84983,ZONE04085,60,,True,ADMIN02711,2024-01-14,Fast delivery available,Medium
ZMAP000168,Olive_70861,ZONE02425,56,9.57,True,ADMIN02144,2024-07-28,High demand area,High
ZMAP000169,Red_13776,ZONE05351,25,,False,ADMIN02131,2022-02-21,High demand area,Medium
ZMAP000170,Red_88176,ZONE03351,16,7.15,True,ADMIN02877,2020-04-25,High demand area,High
ZMAP000171,The_18640,ZONE08366,35,1.72,True,ADMIN02749,2023-10-01,High demand area,High
ZMAP000172,The_30180,ZONE00890,22,,True,ADMIN02214,2023-09-15,Premium delivery zone,Medium
ZMAP000173,Chipotle_28972,ZONE02922,37,8.12,False,ADMIN02620,2020-04-14,High demand area,High
ZMAP000174,Olive_58861,ZONE04370,36,0.05,False,ADMIN02951,2022-03-16,Low delivery fee zone,High
ZMAP000175,Chili's_87309,ZONE09819,19,5.34,False,ADMIN02238,2024-05-10,Premium delivery zone,Medium
ZMAP000176,Olive_14111,ZONE03735,27,,True,ADMIN02736,2022-11-20,Fast delivery available,Medium
ZMAP000177,Panera_17718,ZONE09938,58,4.07,False,ADMIN02686,2020-11-02,Fast delivery available,High
ZMAP000178,Chipotle_36252,ZONE07166,18,1.11,False,ADMIN02002,2023-03-18,Newly added zone,Low
ZMAP000179,Chipotle_15442,ZONE06492,60,3.28,False,ADMIN02786,2023-03-23,Newly added zone,Medium
ZMAP000180,Olive_97081,ZONE01383,19,9.44,False,ADMIN02033,2020-01-17,Premium delivery zone,High
ZMAP000181,Chipotle_95612,ZONE04483,53,9.23,False,ADMIN02604,2023-01-18,Fast delivery available,Low
ZMAP000182,Panera_63648,ZONE05906,52,0.47,True,ADMIN02953,2023-10-19,Fast delivery available,Low
ZMAP000183,Panera_46578,ZONE09286,46,0.54,True,ADMIN02000,2022-08-10,High demand area,High
ZMAP000184,Panera_12498,ZONE08157,32,6.8,False,ADMIN02792,2024-02-09,Premium delivery zone,High
ZMAP000185,Chili's_449,ZONE00482,26,,False,ADMIN02658,2022-04-09,Premium delivery zone,High
ZMAP000186,Texas_15887,ZONE06841,38,7.51,True,ADMIN02041,2022-09-27,Fast delivery available,Medium
ZMAP000187,Olive_59001,ZONE07119,54,,True,ADMIN02171,2021-03-21,Premium delivery zone,High
ZMAP000188,P.F._57453,ZONE05934,30,,False,ADMIN02923,2022-07-29,High demand area,Low
ZMAP000189,Panera_88888,ZONE03571,55,,False,ADMIN02926,2022-12-08,Fast delivery available,High
ZMAP000190,Outback_55075,ZONE04340,52,8.7,True,ADMIN02847,2024-02-28,Newly added zone,Low
ZMAP000191,Outback_29185,ZONE07442,21,,True,ADMIN02899,2021-04-13,Fast delivery available,Low
ZMAP000192,Texas_23647,ZONE03228,41,2.27,True,ADMIN02662,2023-10-16,Premium delivery zone,High
ZMAP000193,Olive_94311,ZONE08337,37,8.67,True,ADMIN02753,2024-05-24,Low delivery fee zone,Medium
ZMAP000194,Panera_60178,ZONE03677,47,4.51,False,ADMIN02331,2020-01-28,High demand area,Medium
ZMAP000195,The_8480,ZONE03904,40,1.02,True,ADMIN02157,2024-12-16,Newly added zone,High
ZMAP000196,P.F._43493,ZONE06776,44,4.11,True,ADMIN02519,2020-04-25,Fast delivery available,Low
ZMAP000197,Buffalo_27054,ZONE07458,17,10.0,True,ADMIN02086,2020-05-26,Low delivery fee zone,Medium
ZMAP000198,Panera_9508,ZONE07732,42,5.24,True,ADMIN02771,2024-07-01,Low delivery fee zone,High
ZMAP000199,Texas_88067,ZONE03551,37,3.56,False,ADMIN02104,2020-06-27,Low delivery fee zone,Low
ZMAP000200,Buffalo_83284,ZONE06021,20,,False,ADMIN02042,2020-10-05,Newly added zone,High
ZMAP000201,Texas_20457,ZONE07311,32,,False,ADMIN02077,2020-11-04,Fast delivery available,Medium
ZMAP000202,Olive_21591,ZONE02147,20,,False,ADMIN02782,2022-08-22,Premium delivery zone,High
ZMAP000203,P.F._61083,ZONE03509,49,,False,ADMIN02275,2022-11-10,High demand area,High
ZMAP000204,Chipotle_95322,ZONE07120,45,2.71,False,ADMIN02355,2024-03-12,High demand area,Medium
ZMAP000205,P.F._74873,ZONE01928,58,6.02,True,ADMIN02413,2020-02-14,High demand area,High
ZMAP000206,Chipotle_64972,ZONE05696,17,6.81,False,ADMIN02843,2022-04-05,Low delivery fee zone,Medium
ZMAP000207,Texas_18417,ZONE04198,24,,False,ADMIN02859,2022-11-28,Low delivery fee zone,Medium
ZMAP000208,Chipotle_35702,ZONE08171,57,4.25,True,ADMIN02082,2021-08-03,Premium delivery zone,High
ZMAP000209,Buffalo_69994,ZONE04880,41,,False,ADMIN02286,2021-11-01,High demand area,Medium
ZMAP000210,Outback_76885,ZONE03090,48,6.58,True,ADMIN02362,2024-03-29,Newly added zone,High
ZMAP000211,Panera_59468,ZONE09175,38,9.79,True,ADMIN02365,2024-08-12,High demand area,Low
ZMAP000212,Red_87966,ZONE07450,41,,True,ADMIN02903,2020-12-28,High demand area,High
ZMAP000213,Red_32656,ZONE03011,27,1.61,False,ADMIN02843,2020-02-02,Low delivery fee zone,Low
ZMAP000214,Chipotle_13302,ZONE03018,23,4.6,True,ADMIN02708,2022-04-02,Fast delivery available,Medium
ZMAP000215,Chipotle_81092,ZONE01684,39,,True,ADMIN02049,2024-01-25,Newly added zone,Medium
ZMAP000216,Olive_42151,ZONE06138,17,,True,ADMIN02148,2020-08-16,Low delivery fee zone,Medium
ZMAP000217,Panera_14068,ZONE07268,15,,True,ADMIN02405,2020-09-04,Low delivery fee zone,Low
ZMAP000218,Panera_62328,ZONE00276,38,0.84,False,ADMIN02590,2024-03-11,High demand area,Low
ZMAP000219,Olive_39781,ZONE06204,15,6.32,False,ADMIN02545,2022-04-28,Newly added zone,High
ZMAP000220,Buffalo_94044,ZONE01255,43,,True,ADMIN02995,2023-03-27,Low delivery fee zone,Medium
ZMAP000221,P.F._24703,ZONE04174,18,0.23,True,ADMIN02737,2020-01-09,Premium delivery zone,High
ZMAP000222,Chipotle_97662,ZONE03161,39,5.79,True,ADMIN02185,2021-07-05,Premium delivery zone,Low
ZMAP000223,Outback_78615,ZONE05185,17,5.85,False,ADMIN02330,2023-11-27,Newly added zone,High
ZMAP000224,P.F._45633,ZONE04822,20,5.68,False,ADMIN02362,2022-03-13,Low delivery fee zone,High
ZMAP000225,Olive_50781,ZONE02040,22,,True,ADMIN02603,2022-10-30,Fast delivery available,High
ZMAP000226,Red_66496,ZONE03584,43,,True,ADMIN02137,2024-02-09,Premium delivery zone,High
ZMAP000227,Buffalo_31574,ZONE07927,30,6.85,False,ADMIN02123,2022-01-28,Premium delivery zone,Low
ZMAP000228,Chipotle_23212,ZONE07680,34,,False,ADMIN02782,2023-11-16,Premium delivery zone,High
ZMAP000229,The_43310,ZONE07754,16,9.19,False,ADMIN02855,2020-05-03,High demand area,Medium
ZMAP000230,Buffalo_26054,ZONE05903,52,,True,ADMIN02855,2021-04-20,High demand area,Low
ZMAP000231,Buffalo_44304,ZONE06578,41,,True,ADMIN02203,2024-12-01,Fast delivery available,Medium
ZMAP000232,Buffalo_43634,ZONE05900,16,,True,ADMIN02963,2023-02-09,Newly added zone,High
ZMAP000233,P.F._37493,ZONE00744,28,8.45,False,ADMIN02619,2023-11-28,Premium delivery zone,Low
ZMAP000234,Red_3246,ZONE00071,17,,True,ADMIN02801,2020-01-06,Newly added zone,High
ZMAP000235,Panera_47638,ZONE07924,54,2.95,False,ADMIN02330,2022-12-12,High demand area,High
ZMAP000236,The_43270,ZONE07429,26,3.81,True,ADMIN02074,2023-11-16,Fast delivery available,Medium
ZMAP000237,P.F._44943,ZONE04682,16,,False,ADMIN02939,2020-10-23,High demand area,Low
ZMAP000238,Outback_80355,ZONE08516,35,7.41,True,ADMIN02141,2024-12-29,High demand area,Medium
ZMAP000239,Olive_50641,ZONE06015,26,5.22,True,ADMIN02630,2023-02-04,Fast delivery available,Medium
ZMAP000240,Texas_70237,ZONE07570,49,,True,ADMIN02361,2020-07-25,Premium delivery zone,Medium
ZMAP000241,Texas_24777,ZONE04638,35,5.51,True,ADMIN02892,2020-11-26,Newly added zone,Medium
ZMAP000242,Chipotle_95942,ZONE07599,43,,True,ADMIN02513,2020-01-09,Low delivery fee zone,High
ZMAP000243,Outback_59325,ZONE05499,16,1.47,False,ADMIN02756,2023-07-29,Premium delivery zone,Medium
ZMAP000244,Buffalo_83604,ZONE03356,15,,True,ADMIN02336,2022-11-12,Premium delivery zone,Low
ZMAP000245,Chili's_77999,ZONE02906,31,,True,ADMIN02009,2023-09-03,High demand area,High
ZMAP000246,The_84920,ZONE02500,33,1.46,True,ADMIN02724,2024-06-16,Low delivery fee zone,Medium
ZMAP000247,Chipotle_49872,ZONE05833,22,,False,ADMIN02561,2022-01-29,High demand area,High
ZMAP000248,Outback_33125,ZONE01745,20,4.76,False,ADMIN02358,2023-01-25,Fast delivery available,Medium
ZMAP000249,Chipotle_67442,ZONE03127,31,,True,ADMIN02321,2024-11-29,Premium delivery zone,High
ZMAP000250,Red_29766,ZONE04270,59,2.79,True,ADMIN02698,2020-08-27,Fast delivery available,High
ZMAP000251,Panera_53258,ZONE07256,30,,False,ADMIN02275,2022-09-06,High demand area,Low
ZMAP000252,Olive_1531,ZONE03122,51,1.35,False,ADMIN02701,2021-02-09,High demand area,Medium
ZMAP000253,Buffalo_14754,ZONE06466,33,5.31,True,ADMIN02506,2023-03-11,Premium delivery zone,High
ZMAP000254,Outback_49955,ZONE04135,18,2.86,True,ADMIN02739,2020-10-21,Fast delivery available,Low
