coupon_id,code,discount,valid_from,valid_until,min_order_value,max_uses,current_uses,is_active,created_by,promotion
COUP00023,CODE7636Q,28.08,2022-02-25,2027-09-04,52.75,242,140,True,Nathan Wolf,PROMO00332
COUP00024,CODE8973Q,9.33,2022-06-27,2027-05-04,73.32,449,208,True,Lisa Griffin,PROMO00693
COUP00025,CODE5044K,37.81,2020-05-11,2026-02-08,34.69,70,51,False,Antonio Jefferson,PROMO00521
COUP00026,CODE9127E,32.16,2024-04-16,2029-06-01,25.27,130,105,False,Anthony Sutton,PROMO00876
COUP00027,CODE1761Z,31.74,2021-04-14,2027-12-01,74.26,162,17,True,Kimberly Price,PROMO00679
COUP00028,CODE8327Z,30.05,2024-06-11,2027-07-10,72.26,10,5,False,Shawn Mcdonald,PROMO00919
COUP00029,CODE2744U,15.15,2022-12-07,2026-12-08,35.05,57,44,False,Stephanie Conway,PROMO00764
COUP00030,CODE7853O,23.21,2021-03-21,2028-09-15,34.45,330,272,True,Kyle Gomez,PROMO00864
COUP00031,CODE1339W,8.54,2021-02-18,2028-02-13,65.77,101,96,False,Sheila Watts,PROMO00996
COUP00032,CODE2354V,38.56,2023-01-08,2029-03-30,43.27,232,145,False,Bradley Burke,PROMO00420
COUP00033,CODE6246P,25.7,2020-09-19,2028-05-05,19.56,61,56,True,Jason Esparza Jr.,PROMO00619
COUP00034,CODE5762E,13.69,2024-07-19,2026-10-31,55.58,162,82,False,Jonathan Anderson,PROMO00908
COUP00035,CODE3237V,12.13,2024-02-25,2027-05-26,71.76,365,132,False,Michael Reyes,PROMO00474
COUP00036,CODE7009N,11.95,2022-11-01,2025-06-20,72.1,175,45,False,James Aguirre,PROMO00145
COUP00037,CODE9515U,41.08,2021-10-15,2025-06-08,25.76,431,393,False,Lauren Brown,PROMO00432
COUP00038,CODE2202H,15.25,2020-02-06,2025-05-12,85.09,434,33,True,Christina Neal,PROMO00903
COUP00039,CODE2661L,49.22,2021-01-09,2028-06-18,55.52,94,78,True,Brian Perry,PROMO00358
COUP00040,CODE8990B,13.04,2021-06-26,2027-05-01,34.22,174,14,True,Kyle Lamb,PROMO00779
COUP00041,CODE4811W,22.77,2022-10-10,2026-04-24,55.8,49,49,True,Benjamin Nguyen,PROMO00146
COUP00042,CODE7530R,34.85,2024-04-17,2025-08-06,84.56,370,46,True,Austin Schaefer,PROMO00389
COUP00043,CODE1614A,43.86,2023-06-09,2027-07-24,50.54,298,107,False,Christopher Ball,PROMO00978
COUP00044,CODE5129O,39.52,2022-05-22,2029-07-21,42.02,11,10,True,Paul Miller,PROMO00623
COUP00045,CODE6605X,30.15,2023-03-16,2027-10-05,72.51,17,13,False,Patrick Dickson,PROMO00332
COUP00046,CODE3573N,13.66,2020-01-28,2027-06-02,59.91,102,26,False,Kyle Mitchell,PROMO00568
COUP00047,CODE7560E,20.64,2023-10-13,2027-01-14,75.57,40,17,False,Ashlee Smith,PROMO00871
COUP00048,CODE7782D,39.28,2021-06-12,2026-03-17,64.14,123,110,True,Jennifer Moreno,PROMO00197
COUP00049,CODE9256P,8.74,2023-01-01,2029-06-01,11.05,255,56,True,Joseph Cooper,PROMO00023
COUP00050,CODE3439Q,38.23,2022-05-16,2028-02-23,33.96,186,106,False,Sara Lee,PROMO00021
COUP00051,CODE7209Y,45.32,2023-09-10,2025-07-28,30.0,88,31,False,William Campbell,PROMO00349
COUP00052,CODE2896A,13.52,2023-12-14,2026-06-23,91.07,381,152,True,Sara Gonzalez,PROMO00247
COUP00053,CODE9559W,20.89,2021-10-30,2025-02-19,55.54,241,226,True,Matthew Fowler,PROMO00219
COUP00054,CODE6324K,11.53,2022-12-05,2027-12-01,88.22,306,291,True,Mr. Jeffrey Robinson,PROMO00228
COUP00055,CODE3146F,14.06,2022-08-18,2029-03-08,31.8,44,1,True,Gary Smith,PROMO00563
COUP00056,CODE7056P,31.46,2021-11-18,2027-06-29,61.32,166,93,False,Nicole Parker,PROMO00260
COUP00057,CODE9425T,13.44,2023-09-22,2027-08-09,79.95,466,160,True,Deborah Smith,PROMO00780
COUP00058,CODE6869Y,10.64,2021-08-20,2026-11-13,32.36,426,289,True,Joanne Chambers,PROMO00356
COUP00059,CODE1789X,34.15,2022-07-08,2028-10-02,44.65,432,287,False,Jordan Gibson,PROMO00779
COUP00060,CODE3221P,39.85,2021-08-19,2025-09-23,63.31,371,170,False,Kristina Bennett,PROMO00961
COUP00061,CODE3682F,43.15,2021-04-30,2028-05-09,54.19,410,37,False,David Summers,PROMO00843
COUP00062,CODE7175H,36.51,2020-06-03,2028-05-08,27.31,405,337,False,Charles Smith,PROMO00470
COUP00063,CODE3393Y,34.53,2022-06-22,2029-08-28,72.67,29,27,False,Gina Sullivan,PROMO00518
COUP00064,CODE4545T,14.55,2024-11-20,2026-09-26,69.8,65,0,False,Stephen Walter,PROMO00546
COUP00065,CODE8730T,20.97,2023-10-22,2028-11-01,10.3,287,78,False,Amber Thomas,PROMO00380
COUP00066,CODE5751P,49.15,2020-07-02,2028-09-29,38.92,14,13,False,Jennifer Sweeney,PROMO00130
COUP00067,CODE8561V,18.76,2021-12-25,2028-12-23,85.2,471,254,False,Eric Perkins,PROMO00175
COUP00068,CODE6758W,29.4,2021-01-21,2027-07-26,58.21,292,282,False,Ashley Elliott,PROMO00700
COUP00069,CODE5492Y,34.52,2023-12-12,2027-11-19,25.64,473,147,True,Carl Marshall,PROMO00276
COUP00070,CODE8084O,48.38,2022-04-18,2026-06-16,65.97,161,50,True,Steven Perry,PROMO00885
COUP00071,CODE6876D,40.56,2021-03-16,2029-05-08,73.07,417,40,True,Elizabeth Brown,PROMO00260
COUP00072,CODE8930V,16.12,2022-12-02,2025-05-28,20.98,129,112,True,Amy White,PROMO00967
COUP00073,CODE2532Z,43.9,2022-08-08,2027-04-20,75.84,356,175,True,Alfred Taylor,PROMO00048
COUP00074,CODE1264I,42.79,2022-06-08,2027-03-07,48.83,135,2,True,Tiffany Edwards,PROMO00101
COUP00075,CODE4687N,17.13,2022-09-06,2026-09-30,79.46,390,282,True,Felicia Deleon,PROMO00008
COUP00076,CODE4940W,29.95,2020-11-13,2028-09-25,12.61,478,273,False,Alexis Mayer,PROMO00408
COUP00077,CODE8182I,24.09,2023-02-09,2028-04-09,30.8,119,112,False,Sheryl Carter,PROMO00652
COUP00078,CODE8264U,45.96,2024-01-03,2025-11-03,14.83,64,1,False,Bobby Wilson,PROMO00504
COUP00079,CODE5239A,48.2,2023-05-30,2027-02-12,80.49,426,127,False,Suzanne Martin,PROMO00969
COUP00080,CODE3837I,31.99,2024-02-24,2026-03-24,18.9,67,63,True,Robin Ferguson,PROMO00645
COUP00081,CODE4634X,34.98,2022-03-06,2027-04-10,99.99,239,141,False,Paul Adkins,PROMO00671
COUP00082,CODE5787P,28.39,2021-03-02,2029-02-05,37.47,454,427,True,Jeanne Johnson,PROMO00583
COUP00083,CODE1472T,9.48,2022-09-23,2027-03-11,62.07,309,201,False,Kristine Brock,PROMO00625
COUP00084,CODE3212M,36.07,2020-04-01,2026-01-07,74.78,464,418,False,Tony Roberts,PROMO00918
COUP00085,CODE2872X,34.27,2021-01-24,2028-03-12,27.81,412,303,False,Marissa Steele,PROMO00587
COUP00086,CODE6628A,29.73,2024-03-27,2029-08-02,61.88,237,211,True,Joshua Harrison,PROMO00930
COUP00087,CODE2747H,14.7,2020-10-28,2026-12-15,18.01,363,236,True,Michael Jackson,PROMO00804
COUP00088,CODE2329E,12.83,2023-07-21,2027-12-06,56.19,25,3,True,Nancy Gomez,PROMO00495
COUP00089,CODE2126Q,48.25,2024-11-09,2025-07-21,52.28,43,1,True,Drew Rivera,PROMO00161
COUP00090,CODE3450X,15.91,2022-04-24,2028-09-13,98.13,481,422,True,Jesse Castro,PROMO00353
COUP00091,CODE6410F,48.34,2024-07-01,2026-12-21,28.33,369,248,False,Christopher Schmidt,PROMO00165
COUP00092,CODE7013T,16.47,2023-03-15,2028-07-15,29.56,90,0,True,Jennifer Horn,PROMO00078
COUP00093,CODE7007B,33.84,2024-07-26,2027-05-31,26.62,372,95,False,Nicholas Jimenez,PROMO00084
COUP00094,CODE6619O,34.3,2021-09-05,2029-02-01,28.73,350,166,False,Joseph Whitaker,PROMO00919
COUP00095,CODE9436A,26.91,2024-11-04,2029-07-27,30.38,225,200,False,Jared Tran,PROMO00378
COUP00096,CODE1461E,29.72,2022-12-11,2026-09-30,92.41,364,48,True,Christine Landry,PROMO00684
COUP00097,CODE2482N,49.09,2020-10-26,2026-06-23,44.62,243,138,True,Laura Mullins,PROMO00339
COUP00098,CODE4604G,31.31,2021-03-03,2028-07-17,43.29,123,117,True,Stephanie Parker,PROMO00952
COUP00099,CODE3197U,18.69,2024-01-18,2025-04-20,96.29,343,159,False,Cheryl Anderson,PROMO00824
COUP00100,CODE4061H,18.4,2020-10-23,2029-12-18,82.95,152,35,True,Paula Mays,PROMO00771
COUP00101,CODE7542W,46.76,2021-08-14,2029-12-24,61.05,126,94,False,Tonya Stone,PROMO00794
COUP00102,CODE2171X,21.19,2020-01-09,2027-05-28,20.11,448,247,False,William Rivera,PROMO00363
COUP00103,CODE4425X,23.18,2021-12-01,2026-05-31,58.61,373,153,False,Amy Long MD,PROMO00040
COUP00104,CODE7250A,33.19,2022-03-31,2027-06-25,91.95,311,93,True,Lisa Matthews,PROMO00553
COUP00105,CODE8757K,40.22,2021-07-02,2029-03-14,61.97,119,30,True,Allison Jones MD,PROMO00834
COUP00106,CODE9395C,24.66,2022-12-22,2029-11-09,21.24,175,51,True,Bryan Becker,PROMO00891
COUP00107,CODE5906F,20.69,2023-07-01,2028-02-26,85.22,54,19,False,Mackenzie Mooney,PROMO00309
COUP00108,CODE1274R,18.06,2023-10-06,2026-12-19,30.69,302,149,True,Ann Wilson,PROMO00238
COUP00109,CODE9081Q,31.29,2023-07-02,2027-11-12,77.28,419,391,True,Yolanda Smith,PROMO00559
COUP00110,CODE6547S,12.3,2020-07-18,2028-12-16,14.88,389,57,False,Kevin Smith,PROMO00002
COUP00111,CODE7814N,27.41,2024-03-07,2025-04-11,59.94,445,322,True,Derek Kennedy,PROMO00421
COUP00112,CODE9503O,6.15,2021-08-12,2029-02-24,91.35,131,99,True,Karen Dunn,PROMO00109
COUP00113,CODE1943A,10.46,2022-11-02,2029-12-24,42.29,482,318,False,Janet Moore,PROMO00967
COUP00114,CODE7887A,9.02,2021-04-11,2028-11-03,62.48,478,157,False,Emily Riddle,PROMO00551
COUP00115,CODE1693O,10.81,2022-12-25,2026-12-30,99.05,133,53,True,Johnny James,PROMO00229
COUP00116,CODE6219C,29.23,2020-08-03,2025-10-17,10.57,423,107,False,Tracy Rodriguez,PROMO00092
COUP00117,CODE8966Z,33.03,2022-09-02,2025-05-14,76.71,85,17,False,Alexis James,PROMO00887
COUP00118,CODE7490G,17.45,2023-05-04,2028-10-06,86.32,117,71,True,Elizabeth Armstrong,PROMO00630
COUP00119,CODE7672H,31.87,2021-08-18,2025-08-23,56.56,127,111,False,Tracy Sutton,PROMO00499
COUP00120,CODE1889M,49.83,2021-05-09,2029-10-19,87.07,44,43,False,Joanna Orr,PROMO00749
COUP00121,CODE1134W,5.18,2020-07-07,2028-06-07,42.46,301,283,False,Philip Brown,PROMO00557
COUP00122,CODE9882B,48.99,2022-10-07,2029-12-09,72.48,60,44,False,Jason Mcguire,PROMO00561
COUP00123,CODE6186E,28.71,2022-12-02,2029-02-19,39.15,449,410,True,Keith Chambers,PROMO00173
COUP00124,CODE6548M,25.26,2024-01-27,2026-12-17,57.71,135,25,False,Stephanie Nichols,PROMO00416
COUP00125,CODE2552I,5.33,2020-09-27,2029-05-30,62.94,294,37,True,Christopher Cooper,PROMO00146
COUP00126,CODE1152X,46.31,2024-08-13,2025-11-19,91.17,275,246,False,Melissa Murray,PROMO00436
COUP00127,CODE1346T,24.44,2023-05-03,2026-11-22,53.81,416,62,True,Justin Wilson,PROMO00621
COUP00128,CODE3013C,7.96,2022-04-27,2029-04-16,32.48,449,258,True,Allison Saunders,PROMO00032
COUP00129,CODE9871X,6.02,2024-05-10,2027-07-11,46.42,416,146,True,Wayne Church,PROMO00834
COUP00130,CODE4944Y,27.19,2024-09-09,2026-01-08,69.45,95,89,True,David Fowler,PROMO00667
COUP00131,CODE6891P,15.75,2024-02-01,2027-06-19,31.56,238,2,True,Lisa Evans,PROMO00432
COUP00132,CODE5897F,39.57,2021-07-27,2025-07-18,59.97,261,115,True,Dawn Meyer,PROMO00257
COUP00133,CODE3715U,49.55,2022-07-26,2029-09-13,23.84,303,43,False,Christopher Martinez,PROMO00487
COUP00134,CODE4594N,29.39,2022-11-28,2025-03-14,16.28,310,206,True,Sharon Mccarthy,PROMO00425
COUP00135,CODE5524E,14.59,2023-07-29,2025-04-01,51.78,252,9,False,Michele Williams,PROMO00710
COUP00136,CODE6585S,43.05,2024-07-27,2025-02-20,34.73,435,281,True,Trevor Hill,PROMO00879
COUP00137,CODE9017W,46.29,2023-11-09,2029-04-01,22.33,448,319,True,Blake Humphrey,PROMO00649
COUP00138,CODE3451J,35.14,2022-05-30,2029-09-03,94.63,417,203,False,Jeremy Golden,PROMO00823
COUP00139,CODE5502N,21.7,2023-01-08,2026-03-07,79.39,456,188,False,Jaime Mclean,PROMO00821
COUP00140,CODE6015K,36.09,2021-11-24,2029-06-15,26.41,196,32,False,Robert Hamilton,PROMO00271
COUP00141,CODE7333L,39.57,2022-01-30,2026-08-07,56.49,274,113,True,Christopher Hamilton,PROMO00808
COUP00142,CODE1160E,14.74,2022-05-04,2028-04-11,31.93,132,81,False,Cassie Green,PROMO00775
COUP00143,CODE8711I,42.76,2023-03-17,2029-09-05,16.5,434,137,True,Joseph Moreno,PROMO00186
COUP00144,CODE4721W,12.1,2024-05-24,2026-05-12,75.4,478,191,True,George Ramos,PROMO00244
COUP00145,CODE7473X,37.49,2021-12-14,2028-11-02,26.99,11,7,True,Michael Williamson,PROMO00643
COUP00146,CODE7805I,25.97,2023-06-24,2029-06-10,54.28,218,143,False,Eric Mclaughlin,PROMO00078
COUP00147,CODE9344J,28.17,2023-04-13,2027-07-13,43.43,238,218,True,Geoffrey Smith,PROMO00104
COUP00148,CODE1391S,45.58,2023-12-27,2027-11-04,59.9,475,428,False,Kimberly Stone,PROMO00145
COUP00149,CODE4797U,6.12,2022-02-26,2028-03-09,88.01,116,76,True,Gabriel Moore,PROMO00732
COUP00150,CODE4578O,23.8,2020-02-04,2028-10-26,23.94,252,43,True,Abigail Mitchell,PROMO00742
COUP00151,CODE2889U,28.24,2022-02-05,2025-12-06,95.81,69,8,True,Marilyn Powell,PROMO00572
COUP00152,CODE2993G,28.69,2023-07-10,2027-02-22,97.09,216,206,False,Jared Gutierrez,PROMO00412
COUP00153,CODE1974F,11.32,2020-11-11,2027-08-19,93.95,128,96,True,Anna Leonard,PROMO00005
COUP00154,CODE8457O,47.12,2021-10-14,2029-02-16,60.16,432,165,False,Jessica Reynolds,PROMO00178
COUP00155,CODE2092K,7.1,2021-10-06,2025-04-26,45.45,217,66,False,Stefanie Carter,PROMO00304
COUP00156,CODE3689G,49.86,2020-11-27,2026-12-19,88.4,355,154,True,Ross Stewart,PROMO00635
COUP00157,CODE4582I,38.94,2021-10-16,2029-09-28,29.32,435,17,True,Gregory Garcia,PROMO00187
COUP00158,CODE6956X,28.97,2024-08-31,2027-12-11,32.53,109,42,False,Robert Moore,PROMO00198
COUP00159,CODE6116T,48.44,2024-09-13,2028-11-16,24.84,20,9,True,Anthony Smith,PROMO00273
COUP00160,CODE9215F,20.36,2021-10-12,2026-04-16,84.95,35,1,False,Danny Morris,PROMO00936
COUP00161,CODE1979K,38.47,2020-07-31,2026-06-11,38.75,361,157,False,Lori Brewer,PROMO00986
COUP00162,CODE1127A,23.54,2020-06-14,2027-03-09,19.72,30,24,False,Michael Brown,PROMO00987
COUP00163,CODE7452X,9.31,2023-04-22,2028-08-28,81.22,18,12,False,Valerie Koch,PROMO00223
COUP00164,CODE7878B,41.57,2022-02-19,2028-09-23,61.72,91,66,True,William Vazquez,PROMO00357
COUP00165,CODE4639P,33.4,2021-10-21,2025-09-02,64.01,223,208,True,Anna Chambers,PROMO00721
COUP00166,CODE9535X,48.34,2023-12-23,2027-06-22,92.58,63,33,True,Teresa Griffin,PROMO00254
COUP00167,CODE6322E,32.09,2024-01-22,2026-08-20,69.39,20,10,True,Richard Mitchell,PROMO00739
COUP00168,CODE6269Q,44.69,2020-05-16,2029-06-29,51.44,325,91,True,Caroline Herrera,PROMO00817
COUP00169,CODE2367Q,9.94,2020-10-03,2026-12-12,34.92,272,28,False,George Miller,PROMO00045
COUP00170,CODE2347S,6.55,2021-01-29,2025-05-14,81.45,313,215,True,Roger Hoffman,PROMO00675
COUP00171,CODE8623C,24.4,2022-11-17,2025-12-12,12.06,245,159,False,Debbie Evans,PROMO00350
COUP00172,CODE8602V,29.95,2023-12-09,2026-08-06,33.5,500,223,True,Nancy Howe,PROMO00491
COUP00173,CODE4815K,6.68,2021-06-26,2025-05-18,94.33,452,208,False,Joshua Miller,PROMO00940
COUP00174,CODE3412E,23.94,2020-02-10,2026-11-10,27.51,348,127,True,Kelly Young,PROMO00663
COUP00175,CODE8610W,9.14,2021-11-28,2027-04-07,41.54,335,319,False,Pedro Salazar,PROMO00374
COUP00176,CODE1622L,16.67,2023-01-01,2028-05-08,14.69,410,231,False,Alan Walker,PROMO00263
COUP00177,CODE1983P,38.56,2024-09-08,2025-03-10,34.19,53,46,False,Stephen King,PROMO00995
COUP00178,CODE6308K,7.69,2021-10-16,2026-03-21,81.87,36,28,True,Elizabeth Mclaughlin,PROMO00029
COUP00179,CODE3167N,47.92,2024-01-09,2029-10-19,81.75,14,3,True,Alan Thomas,PROMO00801
COUP00180,CODE8089Z,8.79,2023-02-17,2029-05-04,39.35,272,209,True,Tracy Marshall,PROMO00437
COUP00181,CODE5862C,27.57,2022-10-30,2028-05-23,19.1,249,47,False,Lee Rogers,PROMO00013
COUP00182,CODE3064M,34.11,2020-10-13,2029-02-11,34.53,493,179,True,Cheryl Marquez,PROMO00850
COUP00183,CODE5335D,13.0,2021-10-17,2027-08-16,20.16,411,118,True,Rachel Norris,PROMO00255
COUP00184,CODE5677B,6.54,2021-06-08,2028-01-10,50.34,39,33,True,Felicia Conrad,PROMO00476
COUP00185,CODE2814F,28.6,2020-11-29,2028-11-23,40.31,399,344,False,Jason Walker,PROMO00122
COUP00186,CODE5030N,43.0,2020-03-13,2025-05-06,28.9,332,324,True,Allison Weaver,PROMO00147
COUP00187,CODE8419S,25.02,2024-12-23,2025-06-05,56.39,183,160,False,Yesenia King,PROMO00855
COUP00188,CODE7279P,34.86,2024-12-13,2028-08-07,93.49,157,131,False,Jasmine Lyons,PROMO00813
COUP00189,CODE7393X,31.37,2021-02-15,2025-05-11,25.86,221,45,True,Alicia Mcdonald,PROMO00348
COUP00190,CODE7206W,37.91,2023-01-28,2029-05-19,16.54,494,210,False,Luis Smith,PROMO00865
COUP00191,CODE5061J,27.43,2023-02-26,2029-01-18,36.13,200,191,True,Miranda Parker,PROMO00686
COUP00192,CODE9634D,25.64,2025-01-01,2029-11-13,53.8,383,94,False,Ryan Roberts,PROMO00666
COUP00193,CODE9233D,23.51,2023-02-01,2026-10-23,18.17,490,231,True,Paul Glover,PROMO00322
COUP00194,CODE7972B,44.22,2024-02-13,2026-03-13,22.89,495,424,False,Anthony Thompson PhD,PROMO00469
COUP00195,CODE6283P,12.57,2022-04-22,2026-12-15,20.37,144,101,False,James Dixon,PROMO00766
COUP00196,CODE8130L,34.95,2020-10-11,2028-08-07,78.57,300,49,False,Timothy Pearson,PROMO00730
COUP00197,CODE9057P,35.68,2021-10-18,2029-10-10,11.64,187,80,True,Joseph Fisher,PROMO00587
COUP00198,CODE9809H,36.07,2021-02-13,2027-08-03,98.27,87,35,True,Johnathan Roberts,PROMO00303
COUP00199,CODE5085H,13.44,2023-03-15,2029-12-09,35.34,282,108,True,Brandon Butler,PROMO00984
COUP00200,CODE1683R,28.2,2024-02-08,2025-08-30,40.59,307,104,True,Thomas Williams,PROMO00324
COUP00201,CODE9384F,13.61,2022-07-25,2025-07-31,78.84,162,3,True,Cassandra Ross,PROMO00112
COUP00202,CODE6267O,5.21,2022-05-20,2026-10-28,17.93,428,173,False,Brandi Henson,PROMO00123
COUP00203,CODE4833S,43.6,2022-08-09,2027-04-29,99.36,173,130,False,Christopher Estrada,PROMO00001
COUP00204,CODE7210L,6.62,2022-05-03,2026-02-18,38.79,117,31,False,Monica Smith,PROMO00305
COUP00205,CODE3457P,31.94,2024-07-16,2026-02-26,30.39,186,26,True,Ana Ferguson,PROMO00603
COUP00206,CODE8978O,7.01,2023-10-12,2027-05-13,17.24,198,4,True,Amanda Thompson,PROMO00002
COUP00207,CODE2574Y,38.88,2023-10-01,2029-03-02,51.5,97,67,False,Robert Johnson,PROMO00831
COUP00208,CODE9926L,9.73,2021-06-08,2027-03-24,23.83,413,139,False,Benjamin Miller,PROMO00098
COUP00209,CODE5621L,30.18,2021-08-29,2027-09-18,14.32,370,110,False,Karen Gray,PROMO00313
COUP00210,CODE6522R,45.67,2021-12-14,2025-09-14,89.39,443,106,True,Julian Ingram,PROMO00269
COUP00211,CODE6129S,14.62,2024-04-21,2026-02-04,74.67,125,20,False,Sarah Parker,PROMO00896
COUP00212,CODE3851R,28.04,2020-01-26,2026-01-29,83.23,72,54,False,Katherine Nguyen,PROMO00638
COUP00213,CODE3015Q,33.16,2022-04-23,2026-02-23,10.78,86,55,True,David Jacobs,PROMO00009
COUP00214,CODE7695X,16.47,2020-03-26,2027-03-16,45.18,367,142,False,James Henderson,PROMO00965
COUP00215,CODE9892O,18.75,2022-02-04,2027-10-30,65.42,312,26,True,Jonathan Santana,PROMO00860
COUP00216,CODE9144V,26.44,2020-03-07,2026-09-02,76.57,445,227,True,Kathy Ellis,PROMO00584
COUP00217,CODE1326Y,8.68,2024-04-28,2025-06-28,44.87,366,221,True,Briana Rubio,PROMO00775
COUP00218,CODE5444Q,42.95,2020-07-28,2029-04-29,53.64,405,313,True,Crystal Dunn,PROMO00287
COUP00219,CODE8938W,27.6,2022-11-18,2026-09-06,84.46,29,6,True,Brian Bolton,PROMO00219
COUP00220,CODE7859V,6.78,2021-02-14,2025-06-28,42.41,235,111,False,Jennifer Foster,PROMO00480
COUP00221,CODE5862Y,48.61,2022-02-16,2026-12-27,82.97,308,35,False,Robert Logan,PROMO00684
COUP00222,CODE4189V,7.21,2023-07-06,2028-01-04,91.47,382,108,False,Wyatt Brown,PROMO00664
COUP00223,CODE9038O,38.88,2021-09-12,2028-11-29,38.42,326,237,True,Jennifer Watson,PROMO00934
COUP00224,CODE5166W,40.36,2021-12-31,2029-05-19,98.59,118,15,False,Erica Diaz,PROMO00965
COUP00225,CODE9985Z,16.08,2020-03-27,2025-03-05,11.9,237,73,True,Heidi Henry,PROMO00472
COUP00226,CODE2126O,21.82,2022-06-11,2029-07-31,84.18,445,418,True,Tamara Berg,PROMO00821
COUP00227,CODE7407T,44.2,2024-03-07,2026-07-24,64.91,412,203,True,Nicholas Johnson,PROMO00172
COUP00228,CODE6057K,9.9,2023-12-07,2029-12-22,30.36,34,29,False,Robin Lloyd,PROMO00415
COUP00229,CODE6372C,6.5,2021-01-18,2025-02-01,41.06,121,89,True,Douglas Stewart,PROMO00365
COUP00230,CODE9725B,41.52,2022-01-24,2026-08-12,29.69,223,27,False,Christian Blair,PROMO00795
COUP00231,CODE7267C,26.25,2020-07-11,2025-09-14,52.49,145,54,False,Noah Hayes,PROMO00924
COUP00232,CODE7227J,22.43,2021-04-28,2026-03-01,58.31,103,13,True,Heather Barnes,PROMO00324
COUP00233,CODE5480G,42.93,2024-05-02,2029-08-06,10.45,394,274,False,Alisha Lewis,PROMO00791
COUP00234,CODE8107X,9.46,2022-10-02,2029-12-22,12.87,376,125,True,Crystal Scott,PROMO00217
COUP00235,CODE6307S,8.26,2020-03-12,2027-10-11,35.69,345,46,True,Edward Pugh,PROMO00234
COUP00236,CODE3529H,10.31,2021-04-03,2026-01-08,38.33,173,33,True,Jessica Williams,PROMO00083
COUP00237,CODE2689C,32.14,2023-07-09,2026-06-20,84.86,259,163,True,Brian Grant,PROMO00235
COUP00238,CODE3504Y,12.95,2024-08-02,2027-06-14,75.66,471,311,False,Luke Gonzales,PROMO00088
COUP00239,CODE6844L,38.63,2023-02-18,2028-02-26,22.11,394,103,True,David Holt,PROMO00051
COUP00240,CODE1172U,21.05,2020-09-05,2028-05-23,20.88,33,6,False,Ruben Martin,PROMO00538
COUP00241,CODE6377C,6.82,2020-10-16,2026-07-02,73.79,291,134,True,Justin Petty,PROMO00452
COUP00242,CODE1313Z,36.2,2024-04-18,2025-11-11,26.41,231,57,False,Kelly Hall,PROMO00450
COUP00243,CODE6343R,44.84,2024-06-25,2025-07-03,35.62,209,186,True,Lauren Evans,PROMO00961
COUP00244,CODE3261V,47.57,2021-08-18,2027-01-19,12.5,379,17,True,Thomas Webb,PROMO00246
COUP00245,CODE9431L,27.07,2020-06-25,2027-01-22,49.51,300,230,True,Bobby Ryan,PROMO00266
