delivery_id,order_id,partner_id,delivery_date,status,estimated_time,actual_time,distance,delivery_rating,comments
DLV000023,ORD000023,PARTNER0164,2020-08-01,Pending,53,87,41.67,2,Quick delivery!
DLV000024,ORD000024,PARTNER0020,2021-02-25,Cancelled,20,96,33.08,1,Delivery failed.
DLV000025,ORD000025,PARTNER0421,2022-11-07,Pending,106,138,45.32,1,Delayed but satisfactory.
DLV000026,ORD000026,PARTNER0365,2021-05-08,Delivered,18,101,15.45,5,Delayed but satisfactory.
DLV000027,ORD000027,PARTNER0385,2022-03-19,Cancelled,55,47,48.96,5,Delivery failed.
DLV000028,ORD000028,PARTNER0307,2020-10-06,Delivered,97,28,30.61,4,Delayed but satisfactory.
DLV000029,ORD000029,PARTNER0004,2022-09-08,Delivered,39,106,48.08,3,Delayed but satisfactory.
DLV000030,ORD000030,PARTNER0014,2023-07-05,Delivered,101,49,23.16,4,Delivery failed.
DLV000031,ORD000031,PARTNER0286,2024-01-27,Delivered,70,46,46.77,1,Excellent service!
DLV000032,ORD000032,PARTNER0133,2022-10-12,Cancelled,17,78,2.42,1,Quick delivery!
DLV000033,ORD000033,PARTNER0226,2021-03-09,Cancelled,33,126,9.12,2,Excellent service!
DLV000034,ORD000034,PARTNER0015,2022-09-18,Cancelled,47,30,40.86,3,Delayed but satisfactory.
DLV000035,ORD000035,PARTNER0413,2023-03-22,Delivered,49,118,31.56,1,Delivery failed.
DLV000036,ORD000036,PARTNER0210,2023-11-08,Pending,41,107,7.14,4,Excellent service!
DLV000037,ORD000037,PARTNER0122,2024-09-04,Cancelled,65,100,24.37,3,Quick delivery!
DLV000038,ORD000038,PARTNER0270,2023-03-05,Delivered,105,139,49.39,4,Quick delivery!
DLV000039,ORD000039,PARTNER0145,2021-06-27,Pending,70,41,46.04,3,Delivery failed.
DLV000040,ORD000040,PARTNER0445,2024-09-08,Cancelled,28,24,5.98,4,Delivery failed.
DLV000041,ORD000041,PARTNER0023,2020-03-09,Cancelled,28,59,23.95,2,Excellent service!
DLV000042,ORD000042,PARTNER0203,2022-03-19,Cancelled,101,143,10.37,2,Excellent service!
DLV000043,ORD000043,PARTNER0169,2023-05-20,Delivered,106,22,33.99,1,Quick delivery!
DLV000044,ORD000044,PARTNER0200,2020-04-27,Delivered,33,115,27.27,5,Delayed but satisfactory.
DLV000045,ORD000045,PARTNER0094,2022-10-21,Cancelled,91,67,1.37,5,Delivery failed.
DLV000046,ORD000046,PARTNER0334,2020-08-27,Delivered,74,112,14.65,5,Delivery failed.
DLV000047,ORD000047,PARTNER0308,2024-02-03,Pending,87,71,39.35,5,Delayed but satisfactory.
DLV000048,ORD000048,PARTNER0412,2022-07-19,Delivered,70,77,11.74,5,Delivery failed.
DLV000049,ORD000049,PARTNER0075,2024-05-29,Pending,28,147,34.15,4,Excellent service!
DLV000050,ORD000050,PARTNER0332,2024-06-29,Pending,76,26,22.31,5,Delivery failed.
DLV000051,ORD000051,PARTNER0260,2020-11-05,Cancelled,102,69,1.87,3,Delivery failed.
DLV000052,ORD000052,PARTNER0358,2022-01-25,Cancelled,29,59,4.24,1,Excellent service!
DLV000053,ORD000053,PARTNER0305,2023-12-08,Delivered,74,120,27.13,2,Delayed but satisfactory.
DLV000054,ORD000054,PARTNER0401,2023-11-09,Pending,37,24,19.27,2,Quick delivery!
DLV000055,ORD000055,PARTNER0106,2020-09-25,Delivered,74,55,14.04,5,Quick delivery!
DLV000056,ORD000056,PARTNER0221,2021-01-11,Cancelled,104,16,7.46,5,Quick delivery!
DLV000057,ORD000057,PARTNER0416,2022-08-11,Pending,117,76,38.26,4,Excellent service!
DLV000058,ORD000058,PARTNER0090,2023-07-13,Cancelled,77,78,37.23,1,Quick delivery!
DLV000059,ORD000059,PARTNER0240,2024-04-23,Pending,20,115,7.82,3,Delayed but satisfactory.
DLV000060,ORD000060,PARTNER0067,2020-03-01,Delivered,33,32,42.73,3,Excellent service!
DLV000061,ORD000061,PARTNER0003,2022-01-23,Pending,53,82,14.66,3,Delayed but satisfactory.
DLV000062,ORD000062,PARTNER0199,2022-02-10,Pending,120,101,23.42,3,Quick delivery!
DLV000063,ORD000063,PARTNER0143,2024-01-26,Cancelled,19,71,5.56,2,Excellent service!
DLV000064,ORD000064,PARTNER0301,2020-05-03,Pending,118,94,17.02,5,Quick delivery!
DLV000065,ORD000065,PARTNER0356,2020-03-03,Cancelled,81,43,2.54,4,Quick delivery!
DLV000066,ORD000066,PARTNER0434,2022-03-23,Cancelled,56,32,41.77,3,Excellent service!
DLV000067,ORD000067,PARTNER0414,2020-08-30,Delivered,105,37,11.7,1,Delayed but satisfactory.
DLV000068,ORD000068,PARTNER0102,2022-08-14,Pending,72,56,25.73,5,Delivery failed.
DLV000069,ORD000069,PARTNER0156,2020-04-12,Delivered,38,68,14.95,1,Delayed but satisfactory.
DLV000070,ORD000070,PARTNER0134,2024-04-22,Cancelled,112,52,20.23,5,Delivery failed.
DLV000071,ORD000071,PARTNER0047,2021-01-11,Pending,54,96,24.84,3,Delivery failed.
DLV000072,ORD000072,PARTNER0014,2023-12-16,Delivered,95,61,31.55,4,Delayed but satisfactory.
DLV000073,ORD000073,PARTNER0309,2020-11-15,Pending,64,50,20.2,5,Quick delivery!
DLV000074,ORD000074,PARTNER0186,2021-03-08,Pending,115,86,8.31,1,Delivery failed.
DLV000075,ORD000075,PARTNER0285,2023-05-14,Delivered,38,146,1.69,1,Excellent service!
DLV000076,ORD000076,PARTNER0150,2024-09-14,Pending,57,26,11.37,1,Delayed but satisfactory.
DLV000077,ORD000077,PARTNER0314,2021-04-01,Pending,117,32,22.74,1,Excellent service!
DLV000078,ORD000078,PARTNER0495,2020-02-25,Cancelled,48,140,43.21,4,Delivery failed.
DLV000079,ORD000079,PARTNER0473,2024-11-26,Cancelled,94,34,20.77,2,Quick delivery!
DLV000080,ORD000080,PARTNER0357,2021-12-16,Cancelled,82,80,8.18,1,Delayed but satisfactory.
DLV000081,ORD000081,PARTNER0404,2023-04-11,Pending,50,71,32.59,1,Excellent service!
DLV000082,ORD000082,PARTNER0308,2022-02-11,Delivered,54,34,13.29,4,Delayed but satisfactory.
DLV000083,ORD000083,PARTNER0237,2020-07-31,Delivered,36,145,32.17,2,Delayed but satisfactory.
DLV000084,ORD000084,PARTNER0086,2021-09-19,Cancelled,88,85,36.12,3,Delayed but satisfactory.
DLV000085,ORD000085,PARTNER0060,2020-05-14,Delivered,42,80,48.45,5,Quick delivery!
DLV000086,ORD000086,PARTNER0339,2022-06-29,Cancelled,26,148,15.03,4,Quick delivery!
DLV000087,ORD000087,PARTNER0470,2024-11-16,Cancelled,87,37,1.57,2,Delivery failed.
DLV000088,ORD000088,PARTNER0056,2023-04-16,Cancelled,43,22,36.53,4,Quick delivery!
DLV000089,ORD000089,PARTNER0190,2020-04-04,Cancelled,59,117,48.69,2,Quick delivery!
DLV000090,ORD000090,PARTNER0467,2021-05-15,Pending,29,25,15.64,4,Quick delivery!
DLV000091,ORD000091,PARTNER0269,2022-02-22,Cancelled,65,127,15.88,3,Delivery failed.
DLV000092,ORD000092,PARTNER0227,2022-09-10,Delivered,80,53,36.36,4,Delayed but satisfactory.
DLV000093,ORD000093,PARTNER0219,2024-11-13,Delivered,80,126,26.5,4,Quick delivery!
DLV000094,ORD000094,PARTNER0070,2024-05-13,Cancelled,71,15,8.21,1,Delayed but satisfactory.
DLV000095,ORD000095,PARTNER0100,2024-04-29,Cancelled,87,53,35.97,5,Delivery failed.
DLV000096,ORD000096,PARTNER0474,2023-07-29,Cancelled,15,26,10.12,4,Quick delivery!
DLV000097,ORD000097,PARTNER0105,2022-09-28,Delivered,106,126,41.22,3,Excellent service!
DLV000098,ORD000098,PARTNER0338,2022-01-17,Delivered,109,53,36.4,1,Excellent service!
DLV000099,ORD000099,PARTNER0106,2021-05-10,Pending,84,71,24.3,3,Delivery failed.
DLV000100,ORD000100,PARTNER0404,2022-06-09,Delivered,47,135,21.85,3,Delivery failed.
DLV000101,ORD000101,PARTNER0313,2024-12-15,Delivered,105,101,33.51,3,Excellent service!
DLV000102,ORD000102,PARTNER0285,2022-09-24,Pending,70,39,49.17,2,Excellent service!
DLV000103,ORD000103,PARTNER0314,2021-06-06,Cancelled,31,16,25.72,3,Delivery failed.
DLV000104,ORD000104,PARTNER0361,2022-10-10,Cancelled,102,106,17.41,2,Excellent service!
DLV000105,ORD000105,PARTNER0379,2024-03-04,Pending,75,139,5.21,5,Delivery failed.
DLV000106,ORD000106,PARTNER0439,2021-11-29,Pending,82,54,34.29,4,Delayed but satisfactory.
DLV000107,ORD000107,PARTNER0039,2023-04-22,Cancelled,19,23,42.98,1,Excellent service!
DLV000108,ORD000108,PARTNER0246,2020-02-13,Pending,67,85,32.14,1,Delivery failed.
DLV000109,ORD000109,PARTNER0146,2021-02-23,Cancelled,73,68,24.3,3,Delayed but satisfactory.
DLV000110,ORD000110,PARTNER0130,2022-05-23,Delivered,71,76,20.62,5,Delivery failed.
DLV000111,ORD000111,PARTNER0463,2023-03-23,Pending,78,135,34.26,1,Quick delivery!
DLV000112,ORD000112,PARTNER0349,2022-10-26,Pending,68,29,44.01,1,Delivery failed.
DLV000113,ORD000113,PARTNER0032,2023-07-30,Delivered,23,29,26.19,1,Delayed but satisfactory.
DLV000114,ORD000114,PARTNER0407,2021-05-14,Delivered,109,39,30.32,1,Delivery failed.
DLV000115,ORD000115,PARTNER0317,2021-11-20,Pending,63,18,11.72,5,Quick delivery!
DLV000116,ORD000116,PARTNER0436,2023-11-01,Cancelled,52,71,19.72,4,Delayed but satisfactory.
DLV000117,ORD000117,PARTNER0136,2020-04-02,Delivered,46,109,39.39,3,Excellent service!
DLV000118,ORD000118,PARTNER0427,2023-06-15,Delivered,65,116,44.09,2,Excellent service!
DLV000119,ORD000119,PARTNER0162,2024-10-19,Pending,68,72,31.01,3,Quick delivery!
DLV000120,ORD000120,PARTNER0317,2021-05-14,Cancelled,94,79,39.0,1,Delayed but satisfactory.
DLV000121,ORD000121,PARTNER0354,2020-03-04,Cancelled,111,27,12.62,1,Quick delivery!
DLV000122,ORD000122,PARTNER0336,2020-09-24,Delivered,21,41,30.49,3,Delivery failed.
DLV000123,ORD000123,PARTNER0365,2021-11-20,Delivered,107,104,33.81,2,Excellent service!
DLV000124,ORD000124,PARTNER0079,2024-12-13,Delivered,48,149,2.99,2,Excellent service!
DLV000125,ORD000125,PARTNER0119,2024-06-17,Pending,51,129,3.4,3,Delayed but satisfactory.
DLV000126,ORD000126,PARTNER0206,2021-12-07,Pending,76,61,1.45,3,Excellent service!
DLV000127,ORD000127,PARTNER0314,2023-02-15,Pending,75,131,7.79,3,Delayed but satisfactory.
DLV000128,ORD000128,PARTNER0219,2024-05-06,Pending,89,71,48.43,1,Quick delivery!
DLV000129,ORD000129,PARTNER0214,2023-05-10,Delivered,85,83,6.59,1,Delayed but satisfactory.
DLV000130,ORD000130,PARTNER0016,2024-01-18,Delivered,81,125,35.36,4,Quick delivery!
DLV000131,ORD000131,PARTNER0377,2023-03-26,Cancelled,70,95,23.8,1,Excellent service!
DLV000132,ORD000132,PARTNER0416,2023-07-10,Pending,97,77,29.52,5,Delayed but satisfactory.
DLV000133,ORD000133,PARTNER0428,2023-08-15,Pending,66,41,15.95,2,Excellent service!
DLV000134,ORD000134,PARTNER0439,2021-11-30,Delivered,63,20,4.16,1,Delivery failed.
DLV000135,ORD000135,PARTNER0367,2022-02-19,Cancelled,89,149,15.3,4,Delivery failed.
DLV000136,ORD000136,PARTNER0116,2020-04-28,Delivered,26,56,45.4,2,Delayed but satisfactory.
DLV000137,ORD000137,PARTNER0253,2024-02-17,Delivered,73,65,18.83,2,Delayed but satisfactory.
DLV000138,ORD000138,PARTNER0119,2021-11-04,Delivered,42,135,31.56,2,Delivery failed.
DLV000139,ORD000139,PARTNER0204,2021-12-06,Pending,63,57,23.99,5,Delayed but satisfactory.
DLV000140,ORD000140,PARTNER0302,2023-11-26,Pending,40,77,38.92,5,Excellent service!
DLV000141,ORD000141,PARTNER0277,2024-08-02,Pending,50,136,2.58,4,Delivery failed.
DLV000142,ORD000142,PARTNER0498,2023-10-01,Pending,61,42,9.78,2,Quick delivery!
DLV000143,ORD000143,PARTNER0235,2024-02-22,Pending,35,30,39.16,5,Quick delivery!
DLV000144,ORD000144,PARTNER0182,2022-07-20,Pending,96,65,23.43,3,Excellent service!
DLV000145,ORD000145,PARTNER0320,2020-03-03,Pending,28,134,34.92,2,Delivery failed.
DLV000146,ORD000146,PARTNER0332,2020-05-05,Delivered,85,113,37.23,3,Delivery failed.
DLV000147,ORD000147,PARTNER0469,2021-02-02,Delivered,107,143,5.08,2,Quick delivery!
DLV000148,ORD000148,PARTNER0343,2023-06-22,Pending,67,131,28.78,5,Quick delivery!
DLV000149,ORD000149,PARTNER0049,2021-09-28,Delivered,37,148,29.89,4,Excellent service!
DLV000150,ORD000150,PARTNER0437,2024-03-10,Cancelled,69,139,24.95,4,Delivery failed.
DLV000151,ORD000151,PARTNER0292,2021-12-17,Delivered,26,17,25.51,2,Quick delivery!
DLV000152,ORD000152,PARTNER0382,2024-06-14,Delivered,59,116,35.24,3,Delivery failed.
DLV000153,ORD000153,PARTNER0220,2021-02-18,Pending,20,18,38.77,2,Excellent service!
DLV000154,ORD000154,PARTNER0412,2023-06-08,Delivered,113,109,29.69,5,Excellent service!
DLV000155,ORD000155,PARTNER0345,2023-12-22,Delivered,119,126,14.49,5,Delivery failed.
DLV000156,ORD000156,PARTNER0261,2021-06-11,Pending,20,39,37.81,5,Excellent service!
DLV000157,ORD000157,PARTNER0321,2020-10-03,Pending,50,80,11.17,3,Delivery failed.
DLV000158,ORD000158,PARTNER0051,2022-05-20,Pending,52,18,8.13,1,Delayed but satisfactory.
DLV000159,ORD000159,PARTNER0073,2023-02-19,Cancelled,96,148,45.46,4,Quick delivery!
DLV000160,ORD000160,PARTNER0258,2023-08-11,Pending,70,96,23.03,4,Excellent service!
DLV000161,ORD000161,PARTNER0036,2023-05-04,Cancelled,120,15,30.04,4,Quick delivery!
DLV000162,ORD000162,PARTNER0032,2020-08-03,Delivered,22,19,9.57,5,Delayed but satisfactory.
DLV000163,ORD000163,PARTNER0056,2020-11-06,Cancelled,74,66,8.12,4,Quick delivery!
DLV000164,ORD000164,PARTNER0068,2024-08-11,Pending,49,121,28.17,2,Delivery failed.
DLV000165,ORD000165,PARTNER0031,2021-07-17,Delivered,70,81,15.94,4,Excellent service!
DLV000166,ORD000166,PARTNER0479,2023-05-27,Delivered,78,62,10.4,2,Excellent service!
DLV000167,ORD000167,PARTNER0173,2020-08-26,Cancelled,21,57,25.36,2,Excellent service!
DLV000168,ORD000168,PARTNER0382,2024-12-25,Cancelled,92,141,10.49,4,Delivery failed.
DLV000169,ORD000169,PARTNER0394,2021-05-18,Pending,28,102,11.79,5,Delayed but satisfactory.
DLV000170,ORD000170,PARTNER0068,2023-07-29,Pending,37,148,20.29,2,Quick delivery!
DLV000171,ORD000171,PARTNER0112,2020-11-24,Pending,51,42,30.16,5,Delivery failed.
DLV000172,ORD000172,PARTNER0060,2024-09-25,Cancelled,76,117,17.13,2,Delayed but satisfactory.
DLV000173,ORD000173,PARTNER0022,2022-07-21,Cancelled,51,118,14.25,5,Delayed but satisfactory.
DLV000174,ORD000174,PARTNER0181,2022-07-26,Cancelled,119,131,49.86,5,Delayed but satisfactory.
DLV000175,ORD000175,PARTNER0109,2022-08-26,Delivered,116,59,15.31,4,Quick delivery!
DLV000176,ORD000176,PARTNER0326,2020-07-10,Delivered,24,117,29.93,4,Excellent service!
DLV000177,ORD000177,PARTNER0006,2021-06-14,Pending,23,104,39.47,4,Quick delivery!
DLV000178,ORD000178,PARTNER0390,2023-04-26,Delivered,54,133,4.88,1,Delayed but satisfactory.
DLV000179,ORD000179,PARTNER0426,2024-04-01,Cancelled,51,94,6.71,1,Quick delivery!
DLV000180,ORD000180,PARTNER0306,2021-03-03,Delivered,97,17,49.45,2,Excellent service!
DLV000181,ORD000181,PARTNER0275,2024-01-07,Delivered,17,67,22.36,2,Quick delivery!
DLV000182,ORD000182,PARTNER0483,2020-11-16,Cancelled,27,113,35.9,4,Quick delivery!
DLV000183,ORD000183,PARTNER0282,2020-11-22,Pending,28,149,5.97,1,Delayed but satisfactory.
DLV000184,ORD000184,PARTNER0069,2020-07-25,Cancelled,60,68,27.72,4,Delayed but satisfactory.
DLV000185,ORD000185,PARTNER0246,2024-11-12,Delivered,79,143,21.53,1,Quick delivery!
DLV000186,ORD000186,PARTNER0315,2020-05-15,Pending,31,101,2.69,5,Quick delivery!
DLV000187,ORD000187,PARTNER0377,2022-03-12,Cancelled,108,55,33.53,1,Excellent service!
DLV000188,ORD000188,PARTNER0015,2024-11-09,Cancelled,65,26,25.24,2,Excellent service!
DLV000189,ORD000189,PARTNER0322,2020-02-27,Delivered,61,32,14.37,1,Excellent service!
DLV000190,ORD000190,PARTNER0354,2021-10-20,Delivered,116,50,4.91,1,Excellent service!
DLV000191,ORD000191,PARTNER0077,2024-12-10,Cancelled,15,112,31.88,5,Quick delivery!
DLV000192,ORD000192,PARTNER0491,2022-04-26,Cancelled,67,30,34.98,2,Quick delivery!
DLV000193,ORD000193,PARTNER0451,2021-10-22,Delivered,40,53,4.43,5,Excellent service!
DLV000194,ORD000194,PARTNER0265,2024-10-26,Delivered,15,129,29.29,1,Excellent service!
DLV000195,ORD000195,PARTNER0040,2020-12-12,Delivered,81,79,24.97,4,Quick delivery!
DLV000196,ORD000196,PARTNER0369,2022-09-04,Cancelled,35,144,43.63,3,Delayed but satisfactory.
DLV000197,ORD000197,PARTNER0410,2021-01-17,Cancelled,77,70,46.14,2,Delayed but satisfactory.
DLV000198,ORD000198,PARTNER0140,2022-11-25,Pending,98,21,47.01,5,Delivery failed.
DLV000199,ORD000199,PARTNER0213,2023-10-30,Delivered,59,82,30.35,1,Delayed but satisfactory.
DLV000200,ORD000200,PARTNER0310,2022-03-27,Pending,18,44,32.4,4,Quick delivery!
DLV000201,ORD000201,PARTNER0326,2021-03-25,Delivered,21,107,49.5,5,Quick delivery!
DLV000202,ORD000202,PARTNER0052,2023-01-22,Delivered,22,107,7.89,2,Delayed but satisfactory.
DLV000203,ORD000203,PARTNER0229,2024-11-10,Delivered,42,15,2.98,2,Excellent service!
DLV000204,ORD000204,PARTNER0474,2020-12-24,Pending,50,130,28.62,2,Delayed but satisfactory.
DLV000205,ORD000205,PARTNER0424,2020-02-27,Cancelled,84,68,7.98,5,Delivery failed.
DLV000206,ORD000206,PARTNER0124,2021-10-11,Cancelled,93,112,19.44,1,Delivery failed.
DLV000207,ORD000207,PARTNER0289,2023-12-05,Delivered,117,20,38.34,1,Excellent service!
DLV000208,ORD000208,PARTNER0276,2022-09-07,Delivered,92,97,29.02,1,Excellent service!
DLV000209,ORD000209,PARTNER0436,2020-04-04,Pending,96,48,30.25,1,Excellent service!
DLV000210,ORD000210,PARTNER0485,2021-08-29,Cancelled,118,84,29.1,3,Delivery failed.
DLV000211,ORD000211,PARTNER0290,2022-02-07,Pending,99,29,48.45,3,Delayed but satisfactory.
DLV000212,ORD000212,PARTNER0465,2020-07-27,Cancelled,45,76,20.97,2,Quick delivery!
DLV000213,ORD000213,PARTNER0228,2022-08-01,Pending,93,36,17.74,1,Excellent service!
DLV000214,ORD000214,PARTNER0108,2021-07-03,Cancelled,107,77,31.17,4,Excellent service!
DLV000215,ORD000215,PARTNER0319,2024-01-01,Cancelled,39,61,32.87,1,Delivery failed.
DLV000216,ORD000216,PARTNER0486,2022-04-25,Cancelled,55,135,41.88,2,Quick delivery!
DLV000217,ORD000217,PARTNER0089,2021-11-03,Cancelled,50,53,46.18,4,Delivery failed.
DLV000218,ORD000218,PARTNER0281,2020-12-24,Pending,47,91,30.24,5,Delivery failed.
DLV000219,ORD000219,PARTNER0155,2023-08-14,Cancelled,67,19,6.19,5,Delayed but satisfactory.
DLV000220,ORD000220,PARTNER0004,2024-06-29,Pending,59,107,16.75,2,Delivery failed.
DLV000221,ORD000221,PARTNER0405,2021-01-04,Delivered,50,36,16.19,5,Quick delivery!
DLV000222,ORD000222,PARTNER0148,2021-10-10,Pending,37,32,6.54,2,Quick delivery!
DLV000223,ORD000223,PARTNER0054,2023-10-08,Pending,46,28,24.05,4,Delayed but satisfactory.
DLV000224,ORD000224,PARTNER0013,2021-05-13,Pending,63,135,34.65,1,Quick delivery!
DLV000225,ORD000225,PARTNER0174,2024-12-29,Pending,82,62,12.89,2,Delayed but satisfactory.
DLV000226,ORD000226,PARTNER0006,2021-01-02,Pending,100,35,25.76,5,Excellent service!
DLV000227,ORD000227,PARTNER0039,2020-06-20,Delivered,38,127,25.34,5,Delayed but satisfactory.
DLV000228,ORD000228,PARTNER0479,2024-06-10,Cancelled,63,136,9.07,4,Quick delivery!
DLV000229,ORD000229,PARTNER0157,2021-07-10,Cancelled,40,75,10.2,4,Quick delivery!
DLV000230,ORD000230,PARTNER0489,2024-08-05,Cancelled,113,34,27.6,5,Quick delivery!
DLV000231,ORD000231,PARTNER0350,2023-06-17,Cancelled,47,86,9.55,2,Delayed but satisfactory.
DLV000232,ORD000232,PARTNER0008,2024-07-29,Cancelled,117,139,2.41,1,Excellent service!
DLV000233,ORD000233,PARTNER0436,2023-03-29,Delivered,75,70,49.84,1,Excellent service!
DLV000234,ORD000234,PARTNER0183,2023-04-20,Pending,20,85,6.46,3,Excellent service!
DLV000235,ORD000235,PARTNER0038,2020-06-18,Delivered,112,84,3.93,4,Quick delivery!
DLV000236,ORD000236,PARTNER0137,2024-09-08,Delivered,17,90,2.72,2,Delivery failed.
DLV000237,ORD000237,PARTNER0377,2020-05-03,Delivered,47,62,14.85,2,Delayed but satisfactory.
DLV000238,ORD000238,PARTNER0467,2024-03-05,Delivered,71,105,27.29,4,Quick delivery!
DLV000239,ORD000239,PARTNER0008,2020-05-05,Pending,82,22,22.72,2,Delivery failed.
DLV000240,ORD000240,PARTNER0033,2022-03-03,Pending,56,62,6.15,4,Delayed but satisfactory.
DLV000241,ORD000241,PARTNER0156,2020-06-12,Pending,80,147,27.29,2,Quick delivery!
DLV000242,ORD000242,PARTNER0451,2020-03-02,Delivered,82,100,22.79,4,Delivery failed.
DLV000243,ORD000243,PARTNER0273,2024-11-02,Delivered,58,148,14.23,3,Delivery failed.
DLV000244,ORD000244,PARTNER0323,2021-05-11,Delivered,79,57,21.71,4,Delayed but satisfactory.
DLV000245,ORD000245,PARTNER0095,2024-11-23,Delivered,94,110,21.16,4,Delayed but satisfactory.
DLV000246,ORD000246,PARTNER0402,2022-04-18,Delivered,64,64,43.85,4,Delivery failed.
DLV000247,ORD000247,PARTNER0060,2022-06-26,Pending,27,75,43.85,1,Delivery failed.
DLV000248,ORD000248,PARTNER0008,2020-10-02,Delivered,93,28,34.04,4,Delivery failed.
DLV000249,ORD000249,PARTNER0145,2021-05-09,Delivered,51,101,1.04,3,Delivery failed.
DLV000250,ORD000250,PARTNER0320,2021-04-21,Pending,43,38,44.12,1,Delayed but satisfactory.
DLV000251,ORD000251,PARTNER0287,2021-05-11,Cancelled,82,56,18.14,3,Delivery failed.
DLV000252,ORD000252,PARTNER0441,2020-12-09,Cancelled,111,63,9.79,5,Quick delivery!
DLV000253,ORD000253,PARTNER0310,2022-04-29,Pending,109,90,16.99,2,Excellent service!
DLV000254,ORD000254,PARTNER0062,2023-08-31,Cancelled,84,126,47.03,5,Delivery failed.
DLV000255,ORD000255,PARTNER0092,2022-06-11,Pending,87,107,10.77,2,Delivery failed.
DLV000256,ORD000256,PARTNER0126,2024-07-03,Pending,48,24,41.81,3,Delivery failed.
DLV000257,ORD000257,PARTNER0438,2020-04-23,Delivered,45,130,21.61,1,Quick delivery!
DLV000258,ORD000258,PARTNER0460,2020-04-29,Cancelled,70,65,35.54,2,Delayed but satisfactory.
DLV000259,ORD000259,PARTNER0091,2021-12-16,Delivered,53,81,3.64,2,Excellent service!
DLV000260,ORD000260,PARTNER0052,2021-03-24,Pending,58,71,24.08,2,Excellent service!
DLV000261,ORD000261,PARTNER0500,2024-12-17,Delivered,41,72,31.72,4,Excellent service!
DLV000262,ORD000262,PARTNER0390,2020-08-11,Cancelled,41,133,44.11,1,Delivery failed.
DLV000263,ORD000263,PARTNER0284,2022-01-02,Delivered,105,30,29.76,3,Delayed but satisfactory.
DLV000264,ORD000264,PARTNER0465,2023-11-25,Pending,27,93,19.42,3,Excellent service!
DLV000265,ORD000265,PARTNER0411,2024-11-28,Delivered,55,16,3.2,4,Delayed but satisfactory.
DLV000266,ORD000266,PARTNER0139,2020-03-07,Cancelled,80,74,29.21,5,Delayed but satisfactory.
DLV000267,ORD000267,PARTNER0220,2022-04-01,Cancelled,67,19,34.06,5,Quick delivery!
DLV000268,ORD000268,PARTNER0449,2020-12-17,Cancelled,28,113,34.04,2,Delayed but satisfactory.
DLV000269,ORD000269,PARTNER0216,2024-03-29,Pending,68,32,8.13,4,Excellent service!
DLV000270,ORD000270,PARTNER0295,2023-06-02,Pending,25,124,37.07,5,Excellent service!
DLV000271,ORD000271,PARTNER0342,2021-08-13,Cancelled,120,142,21.59,2,Delivery failed.
DLV000272,ORD000272,PARTNER0027,2020-02-10,Pending,18,116,42.68,4,Delayed but satisfactory.
DLV000273,ORD000273,PARTNER0178,2020-09-14,Cancelled,107,75,20.0,4,Excellent service!
