promotion_id,restaurant_id,promotion_name,discount_percentage,valid_from,valid_until,min_order_value,max_discount,terms_conditions,is_active
PROMO00066,Texas_36097,Limited Time Offer,24.31,2021-04-18,2027-11-27,41.13,67.48,Offer valid on select items only. Terms and conditions apply.,True
PROMO00067,The_75430,Holiday Discount,35.35,2024-07-02,2025-04-13,78.65,92.69,Offer valid on select items only. Terms and conditions apply.,True
PROMO00068,The_75380,Limited Time Offer,11.96,2024-02-12,2028-01-23,72.07,41.99,Offer valid on select items only. Terms and conditions apply.,False
PROMO00069,The_7140,Special Deal,43.42,2024-04-05,2028-10-23,44.55,70.68,Offer valid on select items only. Terms and conditions apply.,True
PROMO00070,Chipotle_97562,Holiday Discount,48.7,2023-10-03,2027-09-04,71.17,16.78,Offer valid on select items only. Terms and conditions apply.,True
PROMO00071,Panera_33398,Weekend Offer,32.83,2021-02-26,2026-11-12,69.11,50.52,Offer valid on select items only. Terms and conditions apply.,False
PROMO00072,Texas_16537,Festive Sale,7.01,2020-12-11,2027-11-13,68.52,66.53,Offer valid on select items only. Terms and conditions apply.,False
PROMO00073,P.F._22923,Festive Sale,46.53,2021-07-07,2025-12-29,48.06,8.94,Offer valid on select items only. Terms and conditions apply.,True
PROMO00074,P.F._20953,Holiday Discount,46.74,2024-10-27,2026-05-31,30.52,23.3,Offer valid on select items only. Terms and conditions apply.,False
PROMO00075,Olive_63121,Limited Time Offer,21.68,2021-09-05,2027-08-17,42.4,94.34,Offer valid on select items only. Terms and conditions apply.,False
PROMO00076,Chili's_20729,Limited Time Offer,6.95,2021-12-15,2025-05-12,91.46,8.38,Offer valid on select items only. Terms and conditions apply.,False
PROMO00077,Outback_59595,Festive Sale,37.63,2023-06-03,2029-04-25,94.79,20.13,Offer valid on select items only. Terms and conditions apply.,True
PROMO00078,Buffalo_7134,Holiday Discount,20.62,2020-11-27,2026-02-11,37.71,17.34,Offer valid on select items only. Terms and conditions apply.,True
PROMO00079,Olive_50441,Limited Time Offer,30.72,2024-01-28,2027-07-18,51.81,37.35,Offer valid on select items only. Terms and conditions apply.,False
PROMO00080,Outback_43965,Festive Sale,34.88,2024-03-18,2029-12-27,93.95,39.96,Offer valid on select items only. Terms and conditions apply.,True
PROMO00081,Buffalo_92734,Limited Time Offer,28.27,2022-10-27,2028-03-26,79.53,88.67,Offer valid on select items only. Terms and conditions apply.,True
PROMO00082,Buffalo_72294,Festive Sale,44.82,2023-02-09,2027-05-11,19.19,24.93,Offer valid on select items only. Terms and conditions apply.,False
PROMO00083,Chipotle_80992,Weekend Offer,36.94,2021-04-15,2026-01-31,31.06,56.48,Offer valid on select items only. Terms and conditions apply.,True
PROMO00084,Panera_39288,Special Deal,18.06,2022-06-06,2029-10-14,72.67,81.69,Offer valid on select items only. Terms and conditions apply.,True
PROMO00085,Red_60746,Limited Time Offer,33.57,2022-11-01,2029-04-20,25.11,28.45,Offer valid on select items only. Terms and conditions apply.,False
PROMO00086,Outback_63625,Weekend Offer,46.72,2024-08-11,2028-07-29,22.09,14.33,Offer valid on select items only. Terms and conditions apply.,False
PROMO00087,Red_79776,Weekend Offer,42.59,2022-12-03,2028-08-01,82.35,93.4,Offer valid on select items only. Terms and conditions apply.,True
PROMO00088,Chili's_62839,Limited Time Offer,31.64,2022-05-23,2027-02-03,49.46,81.95,Offer valid on select items only. Terms and conditions apply.,True
PROMO00089,Olive_72791,Limited Time Offer,10.3,2024-06-30,2028-10-19,82.6,18.92,Offer valid on select items only. Terms and conditions apply.,False
PROMO00090,Outback_67685,Limited Time Offer,15.25,2020-03-15,2028-12-20,61.23,30.59,Offer valid on select items only. Terms and conditions apply.,True
PROMO00091,Texas_20457,Weekend Offer,10.88,2024-08-05,2028-09-01,36.88,66.01,Offer valid on select items only. Terms and conditions apply.,True
PROMO00092,P.F._26903,Special Deal,11.58,2021-06-11,2029-07-18,85.49,98.12,Offer valid on select items only. Terms and conditions apply.,False
PROMO00093,Olive_10741,Limited Time Offer,21.33,2021-12-28,2027-02-10,71.7,90.47,Offer valid on select items only. Terms and conditions apply.,True
PROMO00094,Buffalo_7964,Special Deal,19.51,2021-04-22,2028-11-11,79.02,78.76,Offer valid on select items only. Terms and conditions apply.,False
PROMO00095,Panera_48728,Special Deal,46.14,2022-01-07,2028-11-20,75.53,58.9,Offer valid on select items only. Terms and conditions apply.,True
PROMO00096,Olive_97461,Holiday Discount,46.97,2022-10-30,2027-01-07,50.49,97.26,Offer valid on select items only. Terms and conditions apply.,True
PROMO00097,Red_70376,Festive Sale,21.42,2021-12-18,2028-09-09,48.12,72.39,Offer valid on select items only. Terms and conditions apply.,False
PROMO00098,Outback_88795,Holiday Discount,29.96,2023-02-27,2028-09-23,99.2,39.27,Offer valid on select items only. Terms and conditions apply.,False
PROMO00099,Red_99616,Festive Sale,15.52,2021-04-10,2028-07-13,93.63,45.88,Offer valid on select items only. Terms and conditions apply.,False
PROMO00100,Panera_71448,Festive Sale,40.42,2023-03-17,2025-02-24,90.01,54.47,Offer valid on select items only. Terms and conditions apply.,False
PROMO00101,Olive_79981,Limited Time Offer,19.99,2022-08-01,2027-11-29,59.92,15.59,Offer valid on select items only. Terms and conditions apply.,False
PROMO00102,Texas_13537,Festive Sale,46.86,2021-02-19,2025-08-21,88.77,57.58,Offer valid on select items only. Terms and conditions apply.,False
PROMO00103,Buffalo_48624,Festive Sale,5.11,2021-03-25,2026-08-22,65.55,40.76,Offer valid on select items only. Terms and conditions apply.,False
PROMO00104,Chipotle_2062,Weekend Offer,41.43,2020-11-08,2025-08-02,43.28,66.55,Offer valid on select items only. Terms and conditions apply.,True
PROMO00105,Buffalo_39614,Weekend Offer,29.08,2021-06-01,2029-10-03,87.64,58.43,Offer valid on select items only. Terms and conditions apply.,True
PROMO00106,Panera_29008,Holiday Discount,26.52,2022-12-02,2027-01-19,42.3,87.26,Offer valid on select items only. Terms and conditions apply.,True
PROMO00107,Texas_26837,Limited Time Offer,19.45,2021-10-28,2025-07-11,24.1,59.13,Offer valid on select items only. Terms and conditions apply.,True
PROMO00108,Red_51036,Holiday Discount,16.21,2024-04-21,2028-05-22,17.18,41.04,Offer valid on select items only. Terms and conditions apply.,True
PROMO00109,Red_49376,Festive Sale,16.15,2021-03-25,2028-11-01,82.52,21.54,Offer valid on select items only. Terms and conditions apply.,True
PROMO00110,The_26840,Holiday Discount,48.71,2020-08-08,2027-10-27,85.23,64.56,Offer valid on select items only. Terms and conditions apply.,True
PROMO00111,Chipotle_54832,Weekend Offer,32.31,2020-05-05,2025-03-21,90.99,13.35,Offer valid on select items only. Terms and conditions apply.,False
PROMO00112,Olive_31301,Special Deal,47.18,2024-06-03,2028-03-16,13.07,71.8,Offer valid on select items only. Terms and conditions apply.,False
PROMO00113,Outback_15335,Special Deal,35.65,2021-12-06,2029-10-30,47.49,73.84,Offer valid on select items only. Terms and conditions apply.,True
PROMO00114,P.F._89703,Weekend Offer,5.38,2023-02-27,2029-10-18,84.53,21.59,Offer valid on select items only. Terms and conditions apply.,False
PROMO00115,Texas_4677,Weekend Offer,20.93,2022-03-10,2029-09-28,49.41,5.51,Offer valid on select items only. Terms and conditions apply.,True
PROMO00116,P.F._89673,Limited Time Offer,21.89,2022-06-02,2029-05-31,51.04,81.93,Offer valid on select items only. Terms and conditions apply.,True
PROMO00117,Chili's_83319,Special Deal,7.39,2023-12-20,2025-12-11,44.47,95.29,Offer valid on select items only. Terms and conditions apply.,False
PROMO00118,Panera_27768,Festive Sale,32.97,2022-06-30,2027-12-14,58.5,58.91,Offer valid on select items only. Terms and conditions apply.,False
PROMO00119,P.F._86043,Holiday Discount,35.99,2021-10-29,2028-12-16,40.46,65.45,Offer valid on select items only. Terms and conditions apply.,True
PROMO00120,The_39880,Holiday Discount,22.38,2023-09-25,2025-04-19,96.6,50.39,Offer valid on select items only. Terms and conditions apply.,False
PROMO00121,Chili's_45429,Festive Sale,27.87,2022-09-28,2026-04-06,62.47,58.05,Offer valid on select items only. Terms and conditions apply.,False
PROMO00122,Chipotle_15042,Special Deal,42.9,2024-10-01,2029-03-20,21.06,74.31,Offer valid on select items only. Terms and conditions apply.,False
PROMO00123,Red_41716,Limited Time Offer,25.92,2020-10-05,2029-03-09,91.06,93.34,Offer valid on select items only. Terms and conditions apply.,True
PROMO00124,Chipotle_18532,Special Deal,43.32,2022-11-28,2026-11-17,13.77,43.65,Offer valid on select items only. Terms and conditions apply.,False
PROMO00125,The_38040,Special Deal,16.97,2024-07-21,2027-12-11,41.61,49.27,Offer valid on select items only. Terms and conditions apply.,True
PROMO00126,Olive_78801,Special Deal,35.21,2022-11-06,2028-07-16,94.14,60.68,Offer valid on select items only. Terms and conditions apply.,True
PROMO00127,P.F._10483,Holiday Discount,37.74,2021-04-16,2027-11-01,86.78,96.62,Offer valid on select items only. Terms and conditions apply.,False
PROMO00128,Red_66516,Special Deal,25.17,2021-01-09,2026-11-04,69.84,33.94,Offer valid on select items only. Terms and conditions apply.,False
PROMO00129,Chili's_27119,Festive Sale,8.12,2021-12-03,2027-09-19,62.85,28.6,Offer valid on select items only. Terms and conditions apply.,False
PROMO00130,The_55810,Holiday Discount,19.46,2023-03-02,2029-07-23,76.71,30.75,Offer valid on select items only. Terms and conditions apply.,True
PROMO00131,Buffalo_17034,Limited Time Offer,14.05,2023-09-06,2026-04-11,23.43,75.05,Offer valid on select items only. Terms and conditions apply.,False
PROMO00132,Chipotle_92262,Festive Sale,43.47,2021-02-25,2026-08-06,50.28,99.66,Offer valid on select items only. Terms and conditions apply.,False
PROMO00133,Panera_34488,Weekend Offer,42.46,2024-06-08,2025-03-19,33.21,47.0,Offer valid on select items only. Terms and conditions apply.,False
PROMO00134,Red_84626,Limited Time Offer,17.69,2020-01-19,2026-12-17,92.38,74.65,Offer valid on select items only. Terms and conditions apply.,True
PROMO00135,Olive_76741,Holiday Discount,41.43,2023-09-10,2026-07-22,59.2,69.72,Offer valid on select items only. Terms and conditions apply.,True
PROMO00136,Olive_40881,Limited Time Offer,30.52,2024-03-22,2026-07-02,73.92,50.05,Offer valid on select items only. Terms and conditions apply.,True
PROMO00137,Texas_10667,Holiday Discount,16.24,2020-06-11,2025-09-12,76.08,17.65,Offer valid on select items only. Terms and conditions apply.,True
PROMO00138,Panera_71718,Weekend Offer,7.02,2021-01-19,2028-04-09,46.64,93.38,Offer valid on select items only. Terms and conditions apply.,False
PROMO00139,Chili's_23479,Weekend Offer,40.28,2020-03-31,2027-09-12,97.41,84.75,Offer valid on select items only. Terms and conditions apply.,False
PROMO00140,Red_39296,Holiday Discount,37.99,2024-03-01,2027-05-06,45.2,12.54,Offer valid on select items only. Terms and conditions apply.,True
PROMO00141,The_850,Festive Sale,37.75,2023-09-05,2028-09-22,15.08,86.9,Offer valid on select items only. Terms and conditions apply.,False
PROMO00142,The_99030,Weekend Offer,35.67,2021-10-12,2028-07-23,95.37,68.62,Offer valid on select items only. Terms and conditions apply.,True
PROMO00143,Buffalo_59554,Weekend Offer,28.24,2022-05-27,2029-06-01,50.1,58.97,Offer valid on select items only. Terms and conditions apply.,False
PROMO00144,Buffalo_14144,Limited Time Offer,32.28,2020-11-18,2028-01-20,16.25,39.0,Offer valid on select items only. Terms and conditions apply.,False
PROMO00145,Chili's_419,Special Deal,34.06,2023-11-25,2025-04-06,93.98,64.68,Offer valid on select items only. Terms and conditions apply.,False
PROMO00146,Chili's_36919,Holiday Discount,7.89,2024-01-19,2026-11-20,13.74,94.21,Offer valid on select items only. Terms and conditions apply.,True
PROMO00147,Olive_56441,Special Deal,10.0,2022-03-12,2026-03-28,69.0,49.76,Offer valid on select items only. Terms and conditions apply.,False
PROMO00148,Buffalo_23694,Festive Sale,12.36,2022-01-14,2025-02-08,31.22,55.0,Offer valid on select items only. Terms and conditions apply.,True
PROMO00149,Texas_47687,Festive Sale,6.59,2020-11-21,2027-02-22,21.29,35.82,Offer valid on select items only. Terms and conditions apply.,False
PROMO00150,Chipotle_52602,Special Deal,10.35,2024-11-24,2028-02-09,32.42,58.59,Offer valid on select items only. Terms and conditions apply.,True
PROMO00151,Chipotle_59242,Weekend Offer,32.18,2021-04-18,2025-10-15,88.77,63.48,Offer valid on select items only. Terms and conditions apply.,False
PROMO00152,Chili's_86279,Holiday Discount,33.46,2020-10-23,2026-12-14,62.62,5.32,Offer valid on select items only. Terms and conditions apply.,True
PROMO00153,Red_40366,Limited Time Offer,11.33,2020-04-21,2028-10-25,85.21,78.5,Offer valid on select items only. Terms and conditions apply.,True
PROMO00154,The_17240,Holiday Discount,27.62,2022-01-09,2028-09-07,86.28,24.82,Offer valid on select items only. Terms and conditions apply.,False
PROMO00155,P.F._44173,Special Deal,39.27,2021-08-23,2026-09-05,58.09,83.75,Offer valid on select items only. Terms and conditions apply.,False
PROMO00156,Red_13126,Special Deal,19.96,2022-09-25,2027-06-03,16.89,8.93,Offer valid on select items only. Terms and conditions apply.,True
PROMO00157,Panera_35818,Limited Time Offer,6.53,2022-06-29,2027-11-22,56.97,60.51,Offer valid on select items only. Terms and conditions apply.,True
PROMO00158,Outback_40225,Special Deal,38.3,2020-12-26,2027-02-15,12.38,68.1,Offer valid on select items only. Terms and conditions apply.,True
PROMO00159,Chili's_94099,Weekend Offer,17.82,2024-08-16,2029-11-26,18.64,92.06,Offer valid on select items only. Terms and conditions apply.,False
PROMO00160,Red_27436,Holiday Discount,10.19,2024-01-20,2026-11-21,95.09,12.49,Offer valid on select items only. Terms and conditions apply.,True
PROMO00161,The_7170,Limited Time Offer,42.3,2024-08-18,2026-07-31,69.83,85.39,Offer valid on select items only. Terms and conditions apply.,True
PROMO00162,Olive_11801,Holiday Discount,24.79,2022-12-27,2027-07-04,10.34,47.1,Offer valid on select items only. Terms and conditions apply.,False
PROMO00163,Texas_20167,Festive Sale,45.14,2024-04-23,2026-06-03,38.41,14.01,Offer valid on select items only. Terms and conditions apply.,False
PROMO00164,Chili's_54679,Limited Time Offer,36.56,2022-01-05,2026-04-13,67.45,12.83,Offer valid on select items only. Terms and conditions apply.,False
PROMO00165,Chili's_14009,Special Deal,47.21,2021-06-28,2029-08-31,43.11,66.7,Offer valid on select items only. Terms and conditions apply.,False
PROMO00166,P.F._45733,Holiday Discount,32.52,2022-03-30,2029-05-15,24.74,78.05,Offer valid on select items only. Terms and conditions apply.,True
PROMO00167,Red_14306,Festive Sale,38.48,2024-09-14,2027-11-01,23.93,87.48,Offer valid on select items only. Terms and conditions apply.,True
PROMO00168,The_12720,Festive Sale,34.45,2021-09-07,2026-06-14,19.45,80.69,Offer valid on select items only. Terms and conditions apply.,True
PROMO00169,Panera_64848,Limited Time Offer,47.35,2023-11-21,2028-12-25,22.96,59.15,Offer valid on select items only. Terms and conditions apply.,False
PROMO00170,Chili's_16779,Weekend Offer,39.77,2023-09-28,2029-05-12,14.37,86.28,Offer valid on select items only. Terms and conditions apply.,False
PROMO00171,Chili's_29329,Holiday Discount,48.14,2020-06-26,2025-08-26,43.96,31.96,Offer valid on select items only. Terms and conditions apply.,True
PROMO00172,Texas_41127,Holiday Discount,9.94,2020-01-13,2027-02-18,92.13,69.11,Offer valid on select items only. Terms and conditions apply.,False
PROMO00173,Texas_54247,Limited Time Offer,8.22,2022-05-13,2028-11-08,56.63,47.29,Offer valid on select items only. Terms and conditions apply.,False
PROMO00174,Chili's_68699,Holiday Discount,29.69,2021-11-02,2025-10-18,30.27,52.02,Offer valid on select items only. Terms and conditions apply.,False
PROMO00175,The_54770,Weekend Offer,26.19,2024-04-19,2025-12-12,36.0,13.39,Offer valid on select items only. Terms and conditions apply.,False
PROMO00176,The_28170,Special Deal,16.92,2021-11-02,2026-03-16,67.59,28.4,Offer valid on select items only. Terms and conditions apply.,False
PROMO00177,Outback_62995,Holiday Discount,33.28,2024-05-14,2026-05-06,91.07,74.7,Offer valid on select items only. Terms and conditions apply.,False
PROMO00178,Panera_16298,Special Deal,46.31,2024-05-21,2029-05-22,28.96,72.37,Offer valid on select items only. Terms and conditions apply.,False
PROMO00179,Chili's_73519,Weekend Offer,6.87,2024-02-18,2026-05-03,77.62,65.81,Offer valid on select items only. Terms and conditions apply.,True
PROMO00180,Outback_88755,Special Deal,37.69,2022-06-01,2028-10-09,74.45,60.2,Offer valid on select items only. Terms and conditions apply.,False
PROMO00181,Buffalo_20974,Festive Sale,13.13,2021-10-27,2025-09-01,45.95,58.92,Offer valid on select items only. Terms and conditions apply.,False
PROMO00182,Panera_92248,Special Deal,35.67,2022-03-04,2026-09-25,88.02,61.3,Offer valid on select items only. Terms and conditions apply.,True
PROMO00183,P.F._38373,Limited Time Offer,13.99,2022-02-22,2029-06-26,39.92,13.4,Offer valid on select items only. Terms and conditions apply.,False
PROMO00184,Panera_86718,Festive Sale,38.37,2020-04-16,2025-08-29,46.85,61.3,Offer valid on select items only. Terms and conditions apply.,False
PROMO00185,P.F._7553,Festive Sale,49.4,2022-10-21,2028-12-18,93.58,87.95,Offer valid on select items only. Terms and conditions apply.,True
PROMO00186,Panera_54508,Weekend Offer,26.99,2024-12-14,2027-02-19,69.27,65.45,Offer valid on select items only. Terms and conditions apply.,True
PROMO00187,Chipotle_67262,Special Deal,22.07,2021-05-21,2025-10-20,39.01,72.7,Offer valid on select items only. Terms and conditions apply.,False
PROMO00188,Olive_85931,Special Deal,16.13,2022-11-29,2025-11-11,16.07,48.52,Offer valid on select items only. Terms and conditions apply.,True
PROMO00189,P.F._78933,Festive Sale,17.06,2023-03-25,2025-11-14,36.75,83.11,Offer valid on select items only. Terms and conditions apply.,False
PROMO00190,Olive_45601,Special Deal,30.79,2021-11-17,2029-05-14,59.11,78.71,Offer valid on select items only. Terms and conditions apply.,True
PROMO00191,Chili's_7439,Holiday Discount,41.35,2021-06-11,2027-01-27,31.81,26.04,Offer valid on select items only. Terms and conditions apply.,False
PROMO00192,Chili's_27509,Limited Time Offer,11.89,2023-06-21,2025-07-27,46.06,70.87,Offer valid on select items only. Terms and conditions apply.,True
PROMO00193,Olive_14941,Holiday Discount,23.55,2020-02-01,2028-02-24,65.51,46.55,Offer valid on select items only. Terms and conditions apply.,False
PROMO00194,Texas_45727,Weekend Offer,48.19,2020-08-18,2029-07-13,46.59,49.08,Offer valid on select items only. Terms and conditions apply.,False
PROMO00195,P.F._59493,Holiday Discount,18.35,2022-09-17,2028-09-24,83.72,17.7,Offer valid on select items only. Terms and conditions apply.,True
PROMO00196,Outback_54975,Special Deal,22.53,2021-11-07,2028-12-19,14.61,9.22,Offer valid on select items only. Terms and conditions apply.,False
