zone_id,city,postal_code,zone_name,delivery_fee,distance_limit,operational_hours,zone_manager,is_active,comments
ZONE06690,Phoenix,13651,Rural Zone,9.21,15.63,9 AM - 9 PM,ADMIN02522,False,Low delivery fee zone
ZONE09049,Phoenix,31743,Suburban Area,0.27,19.51,9 AM - 9 PM,ADMIN02285,True,Premium delivery zone
ZONE06953,Houston,15997,Suburban Area,9.73,1.63,9 AM - 9 PM,ADMIN02011,False,High demand area
ZONE00763,Phoenix,28470,Suburban Area,6.79,16.92,9 AM - 9 PM,ADMIN02528,False,Premium delivery zone
ZONE01835,Los Angeles,12283,Residential Zone,1.54,19.27,9 AM - 9 PM,ADMIN02826,True,Fast delivery available
ZONE09881,Chicago,38927,Rural Zone,9.79,10.05,9 AM - 9 PM,ADMIN02013,False,High demand area
ZONE09356,Chicago,82594,Suburban Area,5.38,3.36,9 AM - 9 PM,ADMIN02957,True,High demand area
ZONE05318,Phoenix,52990,Suburban Area,9.87,10.41,9 AM - 9 PM,ADMIN02059,True,Fast delivery available
ZONE07134,Chicago,17422,Downtown Zone,10.53,13.64,9 AM - 9 PM,ADMIN02629,False,Newly added zone
ZONE04755,New York,95353,Rural Zone,13.55,9.47,9 AM - 9 PM,ADMIN02180,True,High demand area
ZONE08583,Los Angeles,74473,Residential Zone,14.74,11.73,9 AM - 9 PM,ADMIN02747,True,Premium delivery zone
ZONE03031,Los Angeles,25505,Business District,13.58,13.11,9 AM - 9 PM,ADMIN02239,False,Low delivery fee zone
ZONE01496,Los Angeles,71809,Suburban Area,2.84,9.17,9 AM - 9 PM,ADMIN02165,True,High demand area
ZONE08564,Phoenix,67428,Business District,2.63,9.93,9 AM - 9 PM,ADMIN02043,True,High demand area
ZONE04215,Chicago,66037,Suburban Area,1.59,9.13,9 AM - 9 PM,ADMIN02496,True,Fast delivery available
ZONE03056,New York,16819,Suburban Area,7.68,14.79,9 AM - 9 PM,ADMIN02296,True,Newly added zone
ZONE03582,Chicago,68693,Downtown Zone,7.06,19.5,9 AM - 9 PM,ADMIN02700,True,Newly added zone
ZONE08224,Chicago,23506,Suburban Area,14.69,6.31,9 AM - 9 PM,ADMIN02053,False,High demand area
ZONE09058,Houston,16552,Residential Zone,7.06,17.45,9 AM - 9 PM,ADMIN02352,False,Low delivery fee zone
ZONE07951,Phoenix,28081,Downtown Zone,5.21,5.32,9 AM - 9 PM,ADMIN02865,True,Low delivery fee zone
ZONE05642,Chicago,48443,Suburban Area,9.68,15.2,9 AM - 9 PM,ADMIN02674,True,Premium delivery zone
ZONE01217,Houston,18533,Rural Zone,2.54,19.83,9 AM - 9 PM,ADMIN02494,True,Premium delivery zone
ZONE09599,Phoenix,65101,Rural Zone,9.69,16.84,9 AM - 9 PM,ADMIN02919,True,Premium delivery zone
ZONE03434,Chicago,68347,Downtown Zone,11.03,6.57,9 AM - 9 PM,ADMIN02269,False,Premium delivery zone
ZONE08945,New York,65522,Business District,10.41,9.82,9 AM - 9 PM,ADMIN02765,True,High demand area
ZONE01619,Houston,36166,Downtown Zone,7.97,8.33,9 AM - 9 PM,ADMIN02847,False,Premium delivery zone
ZONE02910,Chicago,86478,Downtown Zone,10.39,2.86,9 AM - 9 PM,ADMIN02115,False,Newly added zone
ZONE02029,New York,15980,Suburban Area,6.72,2.08,9 AM - 9 PM,ADMIN02741,False,Fast delivery available
ZONE05043,Chicago,58147,Residential Zone,11.63,10.28,9 AM - 9 PM,ADMIN02496,False,Premium delivery zone
ZONE08027,Los Angeles,23865,Business District,14.99,12.41,9 AM - 9 PM,ADMIN02871,False,Low delivery fee zone
ZONE06972,New York,75289,Business District,14.19,3.51,9 AM - 9 PM,ADMIN02180,True,Low delivery fee zone
ZONE05458,Los Angeles,33099,Suburban Area,13.38,14.15,9 AM - 9 PM,ADMIN02816,False,Premium delivery zone
ZONE00436,Phoenix,48461,Downtown Zone,4.78,6.46,9 AM - 9 PM,ADMIN02748,False,Fast delivery available
ZONE04095,Chicago,94440,Suburban Area,1.67,10.25,9 AM - 9 PM,ADMIN02012,False,High demand area
ZONE07012,Houston,27645,Suburban Area,5.25,8.43,9 AM - 9 PM,ADMIN02516,False,Fast delivery available
ZONE03488,New York,59591,Downtown Zone,8.52,7.85,9 AM - 9 PM,ADMIN02763,False,Low delivery fee zone
ZONE08496,Houston,30674,Suburban Area,4.95,7.63,9 AM - 9 PM,ADMIN02697,True,High demand area
ZONE04202,Houston,39820,Downtown Zone,0.06,4.21,9 AM - 9 PM,ADMIN02269,False,High demand area
ZONE01395,Los Angeles,46997,Downtown Zone,2.83,6.57,9 AM - 9 PM,ADMIN02451,False,Low delivery fee zone
ZONE04017,Phoenix,78630,Residential Zone,13.01,16.89,9 AM - 9 PM,ADMIN02685,True,Fast delivery available
ZONE09484,Houston,86195,Downtown Zone,5.39,5.2,9 AM - 9 PM,ADMIN02769,True,Fast delivery available
ZONE04192,Chicago,58565,Suburban Area,3.89,16.17,9 AM - 9 PM,ADMIN02495,True,Fast delivery available
ZONE06991,New York,11237,Residential Zone,12.73,10.11,9 AM - 9 PM,ADMIN02151,True,Fast delivery available
ZONE06930,Chicago,77760,Downtown Zone,8.17,11.71,9 AM - 9 PM,ADMIN02139,True,Fast delivery available
ZONE05444,Chicago,96319,Residential Zone,9.54,10.81,9 AM - 9 PM,ADMIN02579,False,Newly added zone
ZONE07390,Los Angeles,58491,Rural Zone,2.69,15.23,9 AM - 9 PM,ADMIN02290,True,Low delivery fee zone
ZONE06442,New York,90721,Residential Zone,2.44,11.24,9 AM - 9 PM,ADMIN02390,True,Newly added zone
ZONE09807,Phoenix,58221,Suburban Area,5.45,14.24,9 AM - 9 PM,ADMIN02196,True,Newly added zone
ZONE05780,Los Angeles,62513,Downtown Zone,12.89,15.15,9 AM - 9 PM,ADMIN02492,True,Newly added zone
ZONE02846,Phoenix,98618,Suburban Area,5.02,17.68,9 AM - 9 PM,ADMIN02711,True,Low delivery fee zone
ZONE03557,Houston,21308,Downtown Zone,6.7,12.66,9 AM - 9 PM,ADMIN02380,True,Low delivery fee zone
ZONE00605,New York,17721,Downtown Zone,3.87,11.39,9 AM - 9 PM,ADMIN02449,False,Low delivery fee zone
ZONE09667,Chicago,41223,Rural Zone,12.78,1.5,9 AM - 9 PM,ADMIN02733,False,Premium delivery zone
ZONE07176,Los Angeles,84851,Residential Zone,13.37,7.83,9 AM - 9 PM,ADMIN02981,False,Newly added zone
ZONE02429,Houston,62254,Suburban Area,6.42,17.61,9 AM - 9 PM,ADMIN02466,False,Premium delivery zone
ZONE06876,Houston,75611,Residential Zone,13.79,1.37,9 AM - 9 PM,ADMIN02994,False,Low delivery fee zone
ZONE04116,Phoenix,11423,Rural Zone,14.14,11.25,9 AM - 9 PM,ADMIN02162,False,Newly added zone
ZONE07141,Phoenix,28976,Rural Zone,3.85,16.46,9 AM - 9 PM,ADMIN02310,False,Low delivery fee zone
ZONE06028,Los Angeles,84236,Residential Zone,13.2,19.63,9 AM - 9 PM,ADMIN02802,False,High demand area
ZONE09533,New York,47139,Suburban Area,5.65,4.91,9 AM - 9 PM,ADMIN02637,True,High demand area
ZONE05013,Chicago,51068,Downtown Zone,14.22,10.06,9 AM - 9 PM,ADMIN02125,False,High demand area
ZONE06432,Phoenix,82438,Rural Zone,12.18,16.49,9 AM - 9 PM,ADMIN02296,False,Fast delivery available
ZONE06560,Chicago,13353,Residential Zone,5.88,14.49,9 AM - 9 PM,ADMIN02380,False,High demand area
ZONE06980,Houston,32925,Residential Zone,11.18,2.01,9 AM - 9 PM,ADMIN02285,False,Premium delivery zone
ZONE05845,Phoenix,73357,Downtown Zone,12.77,19.23,9 AM - 9 PM,ADMIN02862,True,Premium delivery zone
ZONE06297,Chicago,36148,Residential Zone,3.43,13.47,9 AM - 9 PM,ADMIN02723,True,Low delivery fee zone
ZONE06106,Chicago,34558,Business District,4.28,6.34,9 AM - 9 PM,ADMIN02166,True,High demand area
ZONE07381,New York,77779,Business District,0.41,4.25,9 AM - 9 PM,ADMIN02398,False,High demand area
ZONE06175,New York,42125,Business District,12.21,14.06,9 AM - 9 PM,ADMIN02647,False,Fast delivery available
ZONE09845,Chicago,61676,Business District,4.59,5.63,9 AM - 9 PM,ADMIN02566,True,Premium delivery zone
ZONE09275,Los Angeles,76189,Downtown Zone,3.7,4.11,9 AM - 9 PM,ADMIN02026,True,High demand area
ZONE07368,Houston,10611,Residential Zone,2.95,2.57,9 AM - 9 PM,ADMIN02963,False,Premium delivery zone
ZONE05877,Los Angeles,71344,Downtown Zone,11.73,18.83,9 AM - 9 PM,ADMIN02116,True,Low delivery fee zone
ZONE09024,Phoenix,24919,Rural Zone,4.77,4.02,9 AM - 9 PM,ADMIN02766,False,High demand area
ZONE07881,Chicago,41058,Rural Zone,3.75,16.44,9 AM - 9 PM,ADMIN02545,True,Newly added zone
ZONE05646,Phoenix,59846,Suburban Area,3.36,13.69,9 AM - 9 PM,ADMIN02689,True,Fast delivery available
ZONE05552,Phoenix,61276,Business District,4.3,5.1,9 AM - 9 PM,ADMIN02757,False,Newly added zone
ZONE03840,Houston,96296,Residential Zone,4.83,7.13,9 AM - 9 PM,ADMIN02898,True,Premium delivery zone
ZONE09722,Los Angeles,58188,Rural Zone,5.88,18.71,9 AM - 9 PM,ADMIN02520,True,Fast delivery available
ZONE04085,Los Angeles,60951,Suburban Area,3.25,2.2,9 AM - 9 PM,ADMIN02012,True,Fast delivery available
ZONE02425,Phoenix,85812,Rural Zone,8.63,14.78,9 AM - 9 PM,ADMIN02718,False,Low delivery fee zone
ZONE05351,Los Angeles,92104,Downtown Zone,7.53,19.96,9 AM - 9 PM,ADMIN02492,False,Newly added zone
ZONE03351,Phoenix,80257,Suburban Area,14.69,1.27,9 AM - 9 PM,ADMIN02018,False,Newly added zone
ZONE08366,Chicago,87747,Residential Zone,10.96,13.36,9 AM - 9 PM,ADMIN02671,True,Premium delivery zone
ZONE00890,New York,86582,Residential Zone,12.24,19.14,9 AM - 9 PM,ADMIN02248,True,Low delivery fee zone
ZONE02922,Houston,53394,Business District,12.5,5.57,9 AM - 9 PM,ADMIN02929,True,Fast delivery available
ZONE04370,Houston,72734,Downtown Zone,13.41,3.53,9 AM - 9 PM,ADMIN02348,True,Fast delivery available
ZONE09819,New York,14531,Suburban Area,8.22,9.34,9 AM - 9 PM,ADMIN02490,False,Premium delivery zone
ZONE03735,Los Angeles,78968,Downtown Zone,6.37,6.13,9 AM - 9 PM,ADMIN02239,False,Premium delivery zone
ZONE09938,New York,47594,Residential Zone,12.37,10.24,9 AM - 9 PM,ADMIN02922,False,Premium delivery zone
ZONE07166,New York,60337,Suburban Area,7.19,17.56,9 AM - 9 PM,ADMIN02491,False,Newly added zone
ZONE06492,Chicago,23578,Downtown Zone,2.1,8.91,9 AM - 9 PM,ADMIN02446,False,High demand area
ZONE01383,New York,36001,Residential Zone,9.11,13.74,9 AM - 9 PM,ADMIN02507,False,High demand area
ZONE04483,Chicago,88490,Business District,2.11,11.61,9 AM - 9 PM,ADMIN02737,True,Low delivery fee zone
ZONE05906,Chicago,95019,Suburban Area,9.3,9.82,9 AM - 9 PM,ADMIN02701,True,Newly added zone
ZONE09286,Los Angeles,20945,Suburban Area,1.67,12.92,9 AM - 9 PM,ADMIN02496,False,High demand area
ZONE08157,Houston,87241,Business District,11.97,6.74,9 AM - 9 PM,ADMIN02287,False,Fast delivery available
ZONE00482,Chicago,93653,Downtown Zone,3.47,1.64,9 AM - 9 PM,ADMIN02437,False,Fast delivery available
ZONE06841,Phoenix,66631,Downtown Zone,11.43,12.53,9 AM - 9 PM,ADMIN02665,False,Newly added zone
ZONE07119,Los Angeles,81261,Business District,13.5,10.03,9 AM - 9 PM,ADMIN02676,True,Low delivery fee zone
ZONE05934,Houston,69346,Residential Zone,6.34,10.98,9 AM - 9 PM,ADMIN02500,True,High demand area
ZONE03571,Chicago,85795,Downtown Zone,5.03,6.86,9 AM - 9 PM,ADMIN02294,False,Low delivery fee zone
ZONE04340,Phoenix,97597,Rural Zone,2.31,2.98,9 AM - 9 PM,ADMIN02285,True,Premium delivery zone
ZONE07442,Chicago,93926,Business District,3.21,17.91,9 AM - 9 PM,ADMIN02999,True,Fast delivery available
ZONE03228,Chicago,43608,Downtown Zone,14.05,17.87,9 AM - 9 PM,ADMIN02391,True,Newly added zone
ZONE08337,Los Angeles,34210,Downtown Zone,12.86,3.68,9 AM - 9 PM,ADMIN02517,True,Fast delivery available
ZONE03677,Phoenix,50419,Business District,8.3,7.59,9 AM - 9 PM,ADMIN02187,False,Newly added zone
ZONE03904,Houston,60035,Downtown Zone,8.25,6.35,9 AM - 9 PM,ADMIN02516,False,High demand area
ZONE06776,New York,93304,Suburban Area,5.8,2.88,9 AM - 9 PM,ADMIN02550,False,Newly added zone
ZONE07458,Los Angeles,61842,Rural Zone,11.41,11.95,9 AM - 9 PM,ADMIN02814,False,Low delivery fee zone
ZONE07732,Houston,19001,Residential Zone,5.9,11.08,9 AM - 9 PM,ADMIN02409,True,Low delivery fee zone
ZONE03551,Phoenix,24643,Rural Zone,9.57,2.96,9 AM - 9 PM,ADMIN02073,True,High demand area
ZONE06021,Chicago,46312,Rural Zone,1.02,8.98,9 AM - 9 PM,ADMIN02446,False,Low delivery fee zone
ZONE07311,Los Angeles,52653,Suburban Area,3.91,9.6,9 AM - 9 PM,ADMIN02911,False,Low delivery fee zone
ZONE02147,New York,23283,Suburban Area,0.82,14.49,9 AM - 9 PM,ADMIN02539,True,Newly added zone
ZONE03509,Houston,68147,Suburban Area,13.18,7.59,9 AM - 9 PM,ADMIN02369,False,Fast delivery available
ZONE07120,Phoenix,82058,Residential Zone,7.52,11.35,9 AM - 9 PM,ADMIN02049,True,Premium delivery zone
ZONE01928,Chicago,62340,Residential Zone,14.49,10.94,9 AM - 9 PM,ADMIN02057,False,Fast delivery available
ZONE05696,Los Angeles,73032,Rural Zone,1.15,12.52,9 AM - 9 PM,ADMIN02849,True,Newly added zone
ZONE04198,Los Angeles,21949,Suburban Area,13.18,18.99,9 AM - 9 PM,ADMIN02617,False,Low delivery fee zone
ZONE08171,Chicago,65898,Downtown Zone,10.34,9.99,9 AM - 9 PM,ADMIN02306,False,Low delivery fee zone
ZONE04880,Los Angeles,54945,Business District,9.57,19.34,9 AM - 9 PM,ADMIN02686,False,High demand area
ZONE03090,Chicago,82606,Rural Zone,1.93,12.8,9 AM - 9 PM,ADMIN02989,True,Fast delivery available
ZONE09175,Chicago,21455,Suburban Area,10.74,19.09,9 AM - 9 PM,ADMIN02304,False,Newly added zone
ZONE07450,Houston,57018,Downtown Zone,9.63,8.86,9 AM - 9 PM,ADMIN02939,False,Low delivery fee zone
ZONE03011,Houston,73066,Suburban Area,13.6,12.45,9 AM - 9 PM,ADMIN02211,False,Premium delivery zone
ZONE03018,Los Angeles,61490,Residential Zone,6.73,1.89,9 AM - 9 PM,ADMIN02905,False,Fast delivery available
ZONE01684,New York,85623,Business District,4.46,15.63,9 AM - 9 PM,ADMIN02325,False,Low delivery fee zone
ZONE06138,Los Angeles,87061,Residential Zone,14.43,18.51,9 AM - 9 PM,ADMIN02313,True,Low delivery fee zone
ZONE07268,Phoenix,23952,Rural Zone,0.77,13.93,9 AM - 9 PM,ADMIN02734,False,Newly added zone
ZONE00276,Chicago,57783,Residential Zone,10.95,17.96,9 AM - 9 PM,ADMIN02736,False,Low delivery fee zone
ZONE06204,New York,91174,Residential Zone,8.8,12.62,9 AM - 9 PM,ADMIN02650,True,Newly added zone
ZONE01255,Los Angeles,85169,Residential Zone,5.18,1.03,9 AM - 9 PM,ADMIN02715,True,Low delivery fee zone
ZONE04174,Phoenix,32258,Business District,9.16,6.97,9 AM - 9 PM,ADMIN02618,True,Premium delivery zone
ZONE03161,New York,61171,Residential Zone,4.14,10.58,9 AM - 9 PM,ADMIN02515,True,Low delivery fee zone
ZONE05185,Phoenix,64819,Residential Zone,7.54,18.82,9 AM - 9 PM,ADMIN02727,False,Premium delivery zone
ZONE04822,Houston,44770,Downtown Zone,6.96,6.84,9 AM - 9 PM,ADMIN02677,False,Premium delivery zone
ZONE02040,New York,63212,Downtown Zone,0.25,7.39,9 AM - 9 PM,ADMIN02053,False,Newly added zone
ZONE03584,New York,39435,Business District,8.74,5.3,9 AM - 9 PM,ADMIN02439,True,High demand area
ZONE07927,Phoenix,45914,Rural Zone,3.0,7.26,9 AM - 9 PM,ADMIN02632,False,High demand area
ZONE07680,Chicago,83176,Residential Zone,1.69,7.0,9 AM - 9 PM,ADMIN02300,False,Fast delivery available
ZONE07754,Phoenix,55293,Suburban Area,12.46,13.46,9 AM - 9 PM,ADMIN02009,True,High demand area
ZONE05903,Los Angeles,13277,Rural Zone,7.99,18.34,9 AM - 9 PM,ADMIN02579,True,High demand area
ZONE06578,Houston,14230,Residential Zone,11.73,5.6,9 AM - 9 PM,ADMIN02363,False,Premium delivery zone
ZONE05900,Phoenix,53852,Residential Zone,8.81,9.04,9 AM - 9 PM,ADMIN02614,False,High demand area
ZONE00744,New York,20113,Business District,14.02,11.72,9 AM - 9 PM,ADMIN02180,False,High demand area
ZONE00071,Houston,33501,Downtown Zone,6.32,1.76,9 AM - 9 PM,ADMIN02526,False,Low delivery fee zone
ZONE07924,Phoenix,15265,Business District,7.09,15.3,9 AM - 9 PM,ADMIN02782,True,Fast delivery available
ZONE07429,Chicago,90532,Rural Zone,13.33,2.78,9 AM - 9 PM,ADMIN02632,False,Premium delivery zone
